suburb,livable,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
PARKVILLE,8.700000000000001,4.0,3.0,5.0,6.0,1.0,0.0,0.0,54.0,24.0,29.0,1.0
HAMILTON,8.7,25.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HASTINGS,8.65,7.0,2.0,16.0,2.0,1.0,0.0,0.0,26.0,25.0,0.0,1.0
BOX HILL,8.649999999999999,11.0,2.0,3.0,2.0,1.0,0.0,0.0,84.0,79.0,4.0,1.0
MENTONE,8.55,16.0,2.0,3.0,2.0,1.0,0.0,0.0,66.0,65.0,0.0,1.0
MALVERN,8.55,9.0,0.0,5.0,1.0,1.0,0.0,0.0,50.0,1.0,47.0,2.0
TOORAK,8.5,13.0,3.0,1.0,2.0,0.0,0.0,0.0,55.0,24.0,30.0,1.0
MARYBOROUGH,8.5,14.0,2.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BLACKBURN,8.450000000000001,9.0,2.0,7.0,0.0,0.0,0.0,0.0,77.0,75.0,0.0,2.0
HIGHTON,8.4,11.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH MELBOURNE,8.350000000000001,9.0,3.0,4.0,1.0,2.0,0.0,0.0,49.0,17.0,32.0,0.0
BRAYBROOK,8.35,15.0,1.0,9.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0
CRANBOURNE,8.3,16.0,2.0,2.0,3.0,1.0,0.0,0.0,63.0,62.0,0.0,1.0
DROMANA,8.250000000000002,4.0,2.0,14.0,0.0,1.0,0.0,0.0,51.0,51.0,0.0,0.0
MOONEE PONDS,8.2,6.0,1.0,5.0,1.0,1.0,0.0,0.0,77.0,56.0,20.0,1.0
WANGARATTA,8.2,21.0,1.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BRIGHTON EAST,8.15,13.0,0.0,6.0,0.0,0.0,0.0,0.0,65.0,55.0,10.0,0.0
DOVETON,8.05,13.0,0.0,11.0,1.0,1.0,0.0,0.0,37.0,37.0,0.0,0.0
RYE,7.949999999999999,3.0,2.0,10.0,0.0,1.0,0.0,0.0,73.0,73.0,0.0,0.0
DOCKLANDS,7.9,3.0,4.0,7.0,1.0,1.0,0.0,0.0,45.0,16.0,28.0,1.0
SORRENTO,7.85,3.0,2.0,14.0,0.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0
FAWKNER,7.7,12.0,1.0,2.0,2.0,1.0,0.0,0.0,78.0,78.0,0.0,0.0
IVANHOE,7.65,11.0,1.0,5.0,2.0,0.0,0.0,0.0,63.0,61.0,0.0,2.0
TRUGANINA,7.6000000000000005,9.0,0.0,8.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0
ARMADALE,7.55,10.0,1.0,1.0,3.0,0.0,0.0,0.0,55.0,23.0,30.0,2.0
LALOR,7.55,15.0,0.0,1.0,1.0,0.0,0.0,0.0,80.0,79.0,0.0,1.0
PASCOE VALE,7.5,10.0,0.0,8.0,0.0,0.0,0.0,0.0,61.0,60.0,0.0,1.0
BEAUMARIS,7.450000000000001,12.0,1.0,5.0,1.0,1.0,0.0,0.0,59.0,59.0,0.0,0.0
WARRAGUL,7.3999999999999995,15.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LAVERTON,7.3999999999999995,10.0,1.0,12.0,1.0,1.0,0.0,0.0,22.0,20.0,0.0,2.0
NUNAWADING,7.200000000000001,12.0,1.0,3.0,0.0,1.0,0.0,0.0,69.0,68.0,0.0,1.0
SOUTH MORANG,7.15,10.0,0.0,1.0,0.0,0.0,1.0,0.0,97.0,95.0,0.0,2.0
BAIRNSDALE,7.1,13.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BULLEEN,7.1,13.0,2.0,3.0,2.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0
KEILOR EAST,7.1,10.0,0.0,6.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0
KILSYTH,7.000000000000001,11.0,1.0,5.0,1.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0
BAYSWATER,7.0,12.0,2.0,2.0,1.0,0.0,0.0,0.0,63.0,62.0,0.0,1.0
SANDRINGHAM,7.0,12.0,1.0,5.0,2.0,1.0,0.0,0.0,45.0,44.0,0.0,1.0
MORDIALLOC,6.95,5.0,2.0,8.0,2.0,1.0,0.0,0.0,48.0,47.0,0.0,1.0
HAMPTON,6.900000000000001,7.0,1.0,4.0,3.0,0.0,0.0,0.0,67.0,66.0,0.0,1.0
DIAMOND CREEK,6.9,12.0,0.0,6.0,2.0,1.0,0.0,0.0,43.0,42.0,0.0,1.0
LARA,6.8999999999999995,7.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BURWOOD EAST,6.800000000000001,10.0,0.0,3.0,0.0,0.0,0.0,0.0,65.0,52.0,13.0,0.0
TEMPLESTOWE LOWER,6.750000000000001,14.0,0.0,2.0,1.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0
FITZROY,6.7,10.0,1.0,1.0,4.0,1.0,0.0,0.0,36.0,8.0,28.0,0.0
HEALESVILLE,6.65,8.0,1.0,8.0,1.0,1.0,0.0,0.0,41.0,41.0,0.0,0.0
ARARAT,6.6000000000000005,11.0,3.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NORLANE,6.6,13.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CANTERBURY,6.55,11.0,1.0,9.0,1.0,0.0,0.0,0.0,21.0,19.0,1.0,1.0
ASHBURTON,6.5,8.0,1.0,10.0,0.0,1.0,0.0,0.0,28.0,26.0,0.0,2.0
GREENVALE,6.4,10.0,0.0,3.0,1.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0
HEATHMONT,6.35,9.0,0.0,9.0,4.0,0.0,0.0,0.0,20.0,19.0,0.0,1.0
OCEAN GROVE,6.300000000000001,8.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MAIDSTONE,6.25,4.0,0.0,11.0,1.0,1.0,0.0,0.0,36.0,35.0,1.0,0.0
ELSTERNWICK,6.25,12.0,1.0,0.0,0.0,1.0,0.0,0.0,55.0,41.0,13.0,1.0
AIRPORT WEST,6.25,7.0,1.0,2.0,2.0,0.0,0.0,0.0,60.0,49.0,11.0,0.0
TRARALGON,6.200000000000001,28.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SYDENHAM,6.2,11.0,0.0,7.0,2.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0
LEOPOLD,6.199999999999999,4.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLAIRGOWRIE,6.15,0.0,0.0,16.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0
DINGLEY VILLAGE,6.15,6.0,0.0,6.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0
ELWOOD,6.1499999999999995,9.0,1.0,5.0,0.0,1.0,0.0,0.0,44.0,39.0,5.0,0.0
FRANKSTON NORTH,6.1,11.0,0.0,6.0,1.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0
DOREEN,6.050000000000001,7.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0
PORTSEA,6.05,0.0,1.0,17.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0
ALBERT PARK,6.000000000000001,7.0,2.0,5.0,1.0,0.0,0.0,0.0,27.0,8.0,19.0,0.0
DONVALE,6.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0
ECHUCA,5.9,15.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHBANK,5.8500000000000005,5.0,1.0,4.0,1.0,0.0,0.0,0.0,37.0,11.0,26.0,0.0
OAKLEIGH,5.8500000000000005,6.0,3.0,0.0,2.0,1.0,0.0,0.0,63.0,61.0,0.0,2.0
CARNEGIE,5.800000000000001,5.0,2.0,1.0,1.0,0.0,0.0,0.0,60.0,46.0,12.0,2.0
OAKLEIGH SOUTH,5.800000000000001,7.0,0.0,2.0,1.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0
BENDIGO,5.8,15.0,2.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
GEELONG,5.8,5.0,6.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SOMERS,5.750000000000001,2.0,0.0,14.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0
KEILOR DOWNS,5.7,6.0,0.0,7.0,1.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0
KURUNJANG,5.65,3.0,0.0,10.0,1.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0
HORSHAM,5.6000000000000005,13.0,1.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
WENDOUREE,5.6,16.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEST MELBOURNE,5.6,5.0,3.0,5.0,0.0,0.0,0.0,0.0,36.0,28.0,7.0,1.0
WANTIRNA,5.550000000000001,11.0,1.0,2.0,1.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0
KENSINGTON,5.549999999999999,3.0,0.0,9.0,3.0,0.0,0.0,0.0,26.0,19.0,5.0,2.0
MYRTLEFORD,5.5,7.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BENTLEIGH,5.5,8.0,2.0,0.0,2.0,1.0,0.0,0.0,54.0,52.0,0.0,2.0
SCORESBY,5.45,5.0,1.0,5.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0
BOX HILL NORTH,5.4,7.0,0.0,3.0,1.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0
CAULFIELD,5.4,4.0,1.0,0.0,4.0,1.0,0.0,0.0,47.0,26.0,21.0,0.0
NEWCOMB,5.4,6.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERMONT,5.35,8.0,1.0,3.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0
MOUNT EVELYN,5.300000000000001,12.0,0.0,2.0,0.0,1.0,0.0,0.0,44.0,44.0,0.0,0.0
HEIDELBERG,5.2,6.0,1.0,6.0,2.0,1.0,0.0,0.0,27.0,26.0,0.0,1.0
BENALLA,5.2,13.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TYABB,5.05,5.0,1.0,9.0,1.0,0.0,0.0,0.0,16.0,15.0,0.0,1.0
FLEMINGTON,5.0,8.0,1.0,4.0,1.0,1.0,0.0,0.0,18.0,4.0,13.0,1.0
MURRUMBEENA,5.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,49.0,48.0,0.0,1.0
MOORABBIN,5.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,53.0,52.0,0.0,1.0
PRAHRAN,4.95,6.0,1.0,0.0,1.0,0.0,0.0,0.0,39.0,13.0,25.0,1.0
HARKNESS,4.95,2.0,0.0,9.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0
MOE,4.9,14.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KEILOR,4.9,5.0,0.0,7.0,1.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0
STAWELL,4.9,14.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HALLAM,4.800000000000001,6.0,0.0,2.0,1.0,0.0,0.0,0.0,55.0,54.0,0.0,1.0
KEW EAST,4.8,5.0,1.0,4.0,0.0,0.0,0.0,0.0,37.0,28.0,9.0,0.0
CAMPERDOWN,4.8,9.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WINCHELSEA,4.799999999999999,3.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HADFIELD,4.75,5.0,0.0,5.0,0.0,0.0,0.0,0.0,44.0,43.0,0.0,1.0
CHURCHILL,4.6000000000000005,11.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
SEYMOUR,4.6,11.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOOROOPNA,4.6,10.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STRATFORD,4.6,3.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BRIGHT,4.6,3.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PARKDALE,4.550000000000001,5.0,0.0,4.0,3.0,0.0,0.0,0.0,34.0,33.0,0.0,1.0
ROSANNA,4.5,6.0,1.0,2.0,1.0,0.0,0.0,0.0,43.0,42.0,0.0,1.0
ORMOND,4.5,9.0,1.0,2.0,0.0,0.0,0.0,0.0,35.0,34.0,0.0,1.0
DALLAS,4.5,13.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
MERNDA,4.450000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,63.0,0.0,1.0
CARLTON NORTH,4.45,3.0,1.0,3.0,0.0,0.0,0.0,0.0,37.0,21.0,16.0,0.0
TULLAMARINE,4.45,4.0,1.0,2.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0
HIGHETT,4.449999999999999,5.0,1.0,3.0,0.0,0.0,0.0,0.0,44.0,43.0,0.0,1.0
COBRAM,4.4,10.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KNOXFIELD,4.3500000000000005,3.0,0.0,3.0,1.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0
WARRANDYTE,4.3500000000000005,4.0,0.0,3.0,1.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0
STRATHMORE,4.300000000000001,8.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0
IRYMPLE,4.300000000000001,8.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARRAWONGA,4.3,11.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VIEWBANK,4.3,5.0,0.0,6.0,1.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0
CHIRNSIDE PARK,4.25,5.0,0.0,2.0,1.0,0.0,0.0,0.0,49.0,49.0,0.0,0.0
BROOKFIELD,4.2,2.0,0.0,8.0,1.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0
AVONDALE HEIGHTS,4.2,7.0,1.0,1.0,0.0,1.0,0.0,0.0,42.0,42.0,0.0,0.0
MONTROSE,4.2,5.0,0.0,4.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0
NEWBOROUGH,4.2,10.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTMORENCY,4.15,9.0,0.0,2.0,1.0,0.0,0.0,0.0,30.0,29.0,0.0,1.0
CLIFTON HILL,4.1000000000000005,4.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,16.0,3.0,1.0
HEATHERTON,4.1000000000000005,2.0,0.0,6.0,1.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0
MACLEOD,4.05,7.0,0.0,1.0,2.0,0.0,0.0,0.0,38.0,37.0,0.0,1.0
GROVEDALE,4.0,7.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KYABRAM,4.0,14.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WINDSOR,3.95,9.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,14.0,1.0
ABBOTSFORD,3.9499999999999997,5.0,2.0,1.0,0.0,1.0,0.0,0.0,26.0,13.0,11.0,2.0
SEBASTOPOL,3.9000000000000004,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPHINGTON,3.9000000000000004,7.0,0.0,3.0,1.0,0.0,0.0,0.0,27.0,26.0,0.0,1.0
FAIRFIELD,3.8999999999999995,4.0,1.0,1.0,2.0,0.0,0.0,0.0,41.0,40.0,0.0,1.0
CHELSEA,3.8500000000000005,6.0,1.0,1.0,2.0,1.0,0.0,0.0,30.0,29.0,0.0,1.0
COLLINGWOOD,3.8000000000000003,8.0,1.0,0.0,2.0,0.0,0.0,0.0,21.0,12.0,9.0,0.0
WATSONIA,3.8,4.0,0.0,4.0,1.0,0.0,0.0,0.0,31.0,30.0,0.0,1.0
DIGGERS REST,3.8,2.0,0.0,9.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,1.0
UPWEY,3.7500000000000004,6.0,0.0,2.0,1.0,0.0,0.0,0.0,34.0,33.0,0.0,1.0
CAPEL SOUND,3.75,1.0,0.0,4.0,1.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0
ALBION,3.7,3.0,0.0,5.0,2.0,0.0,0.0,0.0,23.0,22.0,0.0,1.0
