postcode,cemetery_number,Sport&Recreational_facilities_number
3418,9,9.0
3401,9,9.0
3377,7,20.0
3352,7,22.0
3825,7,32.0
3465,7,19.0
3351,6,16.0
3451,6,15.0
3472,5,7.0
3478,5,10.0
3551,4,23.0
3304,4,11.0
3517,4,10.0
3444,4,13.0
3678,4,32.0
3461,4,4.0
3312,4,3.0
3723,4,3.0
3414,4,7.0
3691,3,11.0
3462,3,3.0
3888,3,10.0
3818,3,16.0
3458,3,6.0
3707,3,4.0
3984,3,10.0
3490,3,7.0
3480,3,10.0
3669,3,4.0
3730,3,9.0
3364,3,5.0
3381,3,8.0
3898,3,0.0
3305,3,24.0
3525,3,8.0
3824,3,10.0
3518,3,6.0
3265,3,5.0
3496,3,7.0
3559,3,4.0
3546,2,4.0
3683,2,2.0
3756,2,8.0
3370,2,5.0
3325,2,2.0
3726,2,1.0
3862,2,5.0
3192,2,17.0
3646,2,2.0
3363,2,7.0
3311,2,9.0
3315,2,6.0
3564,2,11.0
3719,2,3.0
3334,2,1.0
3264,2,7.0
3379,2,5.0
3243,2,2.0
3728,2,4.0
3527,2,6.0
3700,2,6.0
3612,2,4.0
3285,2,3.0
3533,2,7.0
3272,2,5.0
3673,2,5.0
3392,2,4.0
3956,2,8.0
3384,2,4.0
3995,2,12.0
3469,2,2.0
3631,2,14.0
3424,2,6.0
3423,2,5.0
3523,2,8.0
3171,2,16.0
3820,2,27.0
3608,2,8.0
3701,2,7.0
3345,2,2.0
3687,2,1.0
3858,2,4.0
3217,2,4.0
3448,2,3.0
3844,2,26.0
3717,2,9.0
3442,2,10.0
3885,2,5.0
3658,2,8.0
3741,2,10.0
3516,2,4.0
3860,2,13.0
3395,2,3.0
3806,2,14.0
3550,2,42.0
3747,2,11.0
3373,2,5.0
3390,2,5.0
3216,2,33.0
3463,2,9.0
3875,2,23.0
3331,2,10.0
3241,2,9.0
3714,2,11.0
3549,2,4.0
3388,2,4.0
3300,2,18.0
3971,2,8.0
3175,2,23.0
3831,1,6.0
3070,1,8.0
3268,1,7.0
3089,1,15.0
3292,1,1.0
3749,1,6.0
3409,1,6.0
3594,1,4.0
3638,1,6.0
3099,1,6.0
3682,1,1.0
3664,1,5.0
3636,1,13.0
3635,1,3.0
3987,1,2.0
3637,1,3.0
3166,1,21.0
3810,1,15.0
3563,1,5.0
3880,1,5.0
3922,1,12.0
3571,1,2.0
3988,1,3.0
3223,1,13.0
3269,1,5.0
3284,1,8.0
3072,1,15.0
3575,1,6.0
3581,1,1.0
3733,1,2.0
3467,1,5.0
3871,1,6.0
3975,1,2.0
3172,1,8.0
8396,1,0.0
3337,1,25.0
3505,1,5.0
