postcode,cemetery_number,Sport&Recreational_facilities_number
3333,1,2.0
3236,1,2.0
3310,1,3.0
3715,1,1.0
3500,1,15.0
3413,1,1.0
3407,1,5.0
3415,1,0.0
3823,1,3.0
3540,1,4.0
3573,1,6.0
3350,1,52.0
3238,1,2.0
3279,1,1.0
3629,1,12.0
3934,1,11.0
3342,1,6.0
3240,1,6.0
3775,1,7.0
3610,1,6.0
3755,1,2.0
3502,1,0.0
3512,1,3.0
3737,1,13.0
3225,1,9.0
3030,1,36.0
3915,1,8.0
3328,1,3.0
3106,1,9.0
3621,1,6.0
3614,1,1.0
3856,1,3.0
3962,1,2.0
3277,1,1.0
3468,1,1.0
3283,1,3.0
3029,1,22.0
3874,1,2.0
3025,1,18.0
3689,1,0.0
3544,1,2.0
3761,1,4.0
3016,1,22.0
3509,1,4.0
3799,1,5.0
3507,1,2.0
3709,1,2.0
3047,1,12.0
3677,1,2.0
3393,1,7.0
3113,1,2.0
3084,1,11.0
3280,1,42.0
3482,1,1.0
3966,1,3.0
3697,1,1.0
3378,1,1.0
3616,1,11.0
3447,1,1.0
3485,1,4.0
3570,1,3.0
3276,1,2.0
3431,1,3.0
3561,1,12.0
3330,1,2.0
3847,1,5.0
3211,1,2.0
3779,1,4.0
3941,1,6.0
3850,1,26.0
3925,1,4.0
3695,1,0.0
3267,1,2.0
3660,1,9.0
3329,1,3.0
3630,1,24.0
3361,1,5.0
3943,1,4.0
3488,1,1.0
3182,1,6.0
3380,1,9.0
3429,1,18.0
3585,1,14.0
3371,1,6.0
3233,1,8.0
3659,1,3.0
3319,1,2.0
3232,1,7.0
3812,1,3.0
3222,1,11.0
3302,1,2.0
3576,1,0.0
3556,1,13.0
3128,1,11.0
3318,1,8.0
3713,1,5.0
3735,1,1.0
3746,1,1.0
3101,1,7.0
3289,1,3.0
3558,1,5.0
3537,1,8.0
3095,1,18.0
3782,1,6.0
3895,1,0.0
3076,1,13.0
3666,1,11.0
3060,1,5.0
3156,1,21.0
3929,1,3.0
3212,1,9.0
3013,1,10.0
3960,1,7.0
3199,1,46.0
3921,1,0.0
3870,1,4.0
3219,1,9.0
3720,1,1.0
3218,1,11.0
3294,1,7.0
3936,1,5.0
3891,1,0.0
3064,1,16.0
3464,1,2.0
3274,1,1.0
3890,1,2.0
3314,1,2.0
3260,1,8.0
3301,1,3.0
3125,1,11.0
3815,1,5.0
3266,1,11.0
3643,1,0.0
3058,1,19.0
3568,1,11.0
3250,1,15.0
3357,1,5.0
3902,1,0.0
3428,1,1.0
3740,1,1.0
3375,1,1.0
3506,1,0.0
3977,1,26.0
3322,1,0.0
3919,1,5.0
3705,1,2.0
3530,1,2.0
3271,1,0.0
3391,1,3.0
3460,1,7.0
3162,1,20.0
3309,1,1.0
3783,1,2.0
3437,1,12.0
3515,1,5.0
3649,1,2.0
3036,1,7.0
3579,1,22.0
3688,1,0.0
3639,1,2.0
3764,1,7.0
3704,1,0.0
3580,1,3.0
3520,1,2.0
3950,1,8.0
3619,1,0.0
3584,1,4.0
3727,1,2.0
3909,1,12.0
3542,1,2.0
3435,1,4.0
3953,1,12.0
3224,1,3.0
3332,1,1.0
3140,1,8.0
3360,1,4.0
3324,1,4.0
3665,1,2.0
3494,1,2.0
3286,1,4.0
3440,1,4.0
3340,1,11.0
3892,1,7.0
3446,1,1.0
3722,1,9.0
3634,1,4.0
3419,1,6.0
3864,1,1.0
3097,1,3.0
3483,1,7.0
3385,1,1.0
3293,1,2.0
3557,1,2.0
3873,1,1.0
3412,1,4.0
3531,1,4.0
3387,1,2.0
3900,1,1.0
3671,1,0.0
3341,1,1.0
3088,1,14.0
3675,1,4.0
3228,1,29.0
3453,1,7.0
3317,1,3.0
3287,1,3.0
3139,1,8.0
3777,1,8.0
3273,1,1.0
3396,1,5.0
3400,1,23.0
3303,1,1.0
3251,1,2.0
3321,1,5.0
3996,1,7.0
3475,1,2.0
3399,1,0.0
3555,1,14.0
3840,1,15.0
