suburb,growth_rate_22-25
WANGARATTA,34.28%
HASTINGS,29.11%
FLINDERS,29.11%
LARA,27.83%
CARLTON,23.7%
PARKVILLE,23.7%
HERNE HILL,21.71%
GEELONG WEST,21.71%
CAMBERWELL,19.61%
GLEN IRIS,19.61%
