suburb,livable,UNIVERSITY,Commercial,Environment,Medication,Secrity,Transportation,BUS,TRAM STATION,TRAIN STATION
BALACLAVA,1.1,0.0,1.0,0.0,1.0,0.0,9.0,2.0,6.0,1.0
BELLFIELD,1.1,0.0,0.0,5.0,0.0,0.0,12.0,12.0,0.0,0.0
YARRAWONGA,1.1,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
MCKINNON,1.1,0.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,1.0
TRAVANCORE,1.1,0.0,0.0,1.0,1.0,0.0,10.0,1.0,9.0,0.0
MARLO,1.1,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
SEDDON,1.05,0.0,0.0,1.0,0.0,0.0,19.0,18.0,0.0,1.0
MOOROOPNA,1.05,0.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0
BALNARRING,1.05,0.0,0.0,8.0,1.0,0.0,4.0,4.0,0.0,0.0
SEYMOUR,1.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
COBRAM,1.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
APOLLO BAY,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
ARDEER,1.0,0.0,0.0,3.0,0.0,0.0,14.0,14.0,0.0,0.0
KALORAMA,1.0,0.0,0.0,2.0,0.0,0.0,16.0,16.0,0.0,0.0
BONBEACH,0.9500000000000002,0.0,0.0,2.0,0.0,0.0,15.0,14.0,0.0,1.0
EAGLEHAWK,0.9500000000000001,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
PANTON HILL,0.9500000000000001,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
JACANA,0.9500000000000001,0.0,0.0,1.0,0.0,0.0,17.0,17.0,0.0,0.0
BAXTER,0.9500000000000001,0.0,0.0,4.0,0.0,0.0,11.0,10.0,0.0,1.0
TRAFALGAR,0.9500000000000001,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
PEARCEDALE,0.95,0.0,0.0,2.0,0.0,0.0,15.0,15.0,0.0,0.0
LYNBROOK,0.95,0.0,0.0,2.0,0.0,0.0,15.0,15.0,0.0,0.0
KORUMBURRA,0.95,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
OFFICER,0.9000000000000001,0.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,1.0
BOOLE POOLE,0.9000000000000001,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
PLENTY,0.9000000000000001,0.0,0.0,3.0,0.0,0.0,12.0,12.0,0.0,0.0
YARRAM,0.9000000000000001,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
BRIAR HILL,0.9,0.0,0.0,1.0,0.0,0.0,16.0,16.0,0.0,0.0
ABERFELDIE,0.9,0.0,0.0,1.0,0.0,0.0,16.0,16.0,0.0,0.0
CLIFTON SPRINGS,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWBOROUGH,0.9,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
LYNDHURST,0.9,0.0,0.0,1.0,0.0,0.0,16.0,15.0,0.0,1.0
LITTLE RIVER,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
MOE,0.8999999999999999,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
BOORT,0.8999999999999999,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
STAWELL,0.8999999999999999,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
BOTANIC RIDGE,0.8500000000000001,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0
GROVEDALE,0.8500000000000001,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
LOWER PLENTY,0.8500000000000001,0.0,0.0,2.0,0.0,0.0,13.0,13.0,0.0,0.0
CHURCHILL,0.8500000000000001,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0
LYSTERFIELD,0.85,0.0,0.0,1.0,0.0,0.0,15.0,15.0,0.0,0.0
COLERAINE,0.85,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
WONTHAGGI,0.8,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
YALLAMBIE,0.8,0.0,0.0,1.0,1.0,0.0,13.0,13.0,0.0,0.0
HOPETOUN,0.8,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
COHUNA,0.8,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
MANSFIELD,0.8,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
GOWANBRAE,0.8,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
POINT LONSDALE,0.8,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
LEONGATHA,0.75,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
RIPPONLEA,0.75,0.0,0.0,0.0,0.0,0.0,11.0,6.0,4.0,1.0
BURNLEY,0.75,0.0,0.0,3.0,0.0,0.0,5.0,0.0,4.0,1.0
COWES,0.75,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
EUMEMMERRING,0.75,0.0,0.0,4.0,0.0,0.0,7.0,7.0,0.0,0.0
HURSTBRIDGE,0.75,0.0,0.0,5.0,0.0,1.0,4.0,3.0,0.0,1.0
OUYEN,0.75,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
NHILL,0.75,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
STRATHTULLOH,0.7000000000000001,0.0,0.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0
CRESWICK,0.7,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
SKIPTON,0.7,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
ALEXANDRA,0.7,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
WARRACKNABEAL,0.7,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
KIALLA,0.7,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
SEABROOK,0.7,0.0,0.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0
BUNYIP,0.7,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
CORRYONG,0.7,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
MOOLAP,0.7,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
NARRE WARREN EAST,0.7,0.0,0.0,2.0,1.0,0.0,9.0,9.0,0.0,0.0
INVERLOCH,0.6500000000000001,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
PETERBOROUGH,0.6500000000000001,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
BUNINYONG,0.65,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
BANGHOLME,0.65,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0
DROUIN,0.65,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
WOODEND,0.6499999999999999,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
EILDON,0.6499999999999999,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
YAN YEAN,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0
CAPE WOOLAMAI,0.6000000000000001,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
FOSTER,0.6,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
HEATHCOTE,0.6,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
DIMBOOLA,0.6,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
KYABRAM,0.6,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
PENSHURST,0.6,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
CLYDE,0.55,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0
KILMORE,0.55,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
KINGSVILLE,0.55,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0
PAYNESVILLE,0.55,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
EAGLEMONT,0.55,0.0,0.0,2.0,0.0,0.0,7.0,6.0,0.0,1.0
BLIND BIGHT,0.55,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0
ROCKBANK,0.55,0.0,0.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0
DRYSDALE,0.55,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
BACCHUS MARSH,0.5499999999999999,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
DAYLESFORD,0.5499999999999999,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
KYNETON,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BELL PARK,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
CASTLEMAINE,0.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
DRUMCONDRA,0.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
GISBORNE,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
THOMSON,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SEASPRAY,0.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
BEECHWORTH,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
MALDON,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SEBASTOPOL,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
BARANDUDA,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
DONALD,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CONNEWARRE,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
NYORA,0.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTLY,0.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
TALLANGATTA,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
TOORADIN,0.45000000000000007,0.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,0.0
COBBLEBANK,0.45000000000000007,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0
ALFREDTON,0.45,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
GARDENVALE,0.45,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
BEVERIDGE,0.45,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
WHITTINGTON,0.45,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
BARWON HEADS,0.45,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
SEVILLE,0.45,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
ANGLESEA,0.45,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
YARRAGON,0.44999999999999996,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LINDENOW,0.44999999999999996,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
NATIMUK,0.44999999999999996,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
METUNG,0.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
BAROOGA,0.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
SKYE,0.4,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
EPSOM,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GARFIELD,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LONGWARRY,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TORRUMBARRY,0.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
EPPALOCK,0.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDHURST,0.4,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
DONNYBROOK,0.4,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0
EYNESBURY,0.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ROMSEY,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRARALGON,0.39999999999999997,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
KERANG,0.39999999999999997,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MORTLAKE,0.39999999999999997,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TATURA,0.39999999999999997,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
BALLAN,0.39999999999999997,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MURTOA,0.39999999999999997,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
BENDOC,0.35000000000000003,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
CHARLTON,0.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TANGAMBALANGA,0.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BROADFORD,0.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KALLISTA,0.35,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0
TONGALA,0.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HUNTINGDALE,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
BARINGHUP,0.30000000000000004,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
BREAKWATER,0.30000000000000004,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CALIFORNIA GULLY,0.30000000000000004,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRISTMAS HILLS,0.30000000000000004,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRIETVILLE,0.30000000000000004,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
MACEDON,0.30000000000000004,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
BEACONSFIELD UPPER,0.30000000000000004,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
MYRNIONG,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUILDFORD,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTWOOD,0.3,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0
YINNAR,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WATERWAYS,0.25,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
QUAMBATOOK,0.25,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
KALIMNA,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
KALKALLO,0.2,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
CANADIAN,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
IRONBARK,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MERRIMU,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ARNOLD,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
LONGLEA,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWBRIDGE,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
BONEO,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
WURRUK,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
EUREKA,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAKIE,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MARSHALL,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
LENEVA,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
KNOWSLEY,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
DARTMOUTH,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CORINELLA,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MERRIGUM,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
DALYSTON,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MADDINGLEY,0.15000000000000002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
LOCH,0.15000000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
KINGLAKE,0.15000000000000002,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
BRANXHOLME,0.15000000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
KENNINGTON,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WINTER VALLEY,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DELACOMBE,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DEANSIDE,0.1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
MAMBOURIN,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RED HILL,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LUCAS,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWINGTON,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LAKE GARDENS,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CURLEWIS,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SWAN REACH,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
THOONA,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTWOOD,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ARCHERTON,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MAINDAMPLE,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MERRIJIG,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PEECHELBA,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TAWONGA SOUTH,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DUMBALK,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BELLBRAE,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HATTAH,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TALLYGAROOPNA,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STRATHMERTON,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
REDAN,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NERRINA,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STRATHFIELDSAYE,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WALLAN,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
BONNIE BROOK,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LANCEFIELD,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NEW GISBORNE,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEXHAM,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOUNT MACEDON,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BARKERS CREEK,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MURRAYDALE,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BUXTON,0.1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
DRIFFIELD,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TALLAROOK,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BANNOCKBURN,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
STRATHDALE,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FORREST,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RIDDELLS CREEK,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HAWKESDALE,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BRANDON PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGLERS REST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRUNSWICK SOUTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMSTRONG CREEK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELDSTONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILBERTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHARLEMONT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUBURN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXFORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALLIGNEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOORNALLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIRLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAGLE POINT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELLASWOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLAMBEE RESERVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINGAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAULFIELD JUNCTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOORAN ROAD PO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAYLES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARDINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARLEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDERSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMS ESTATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRANTVILLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERRINGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BONSHAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADDINGTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POOTILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARDIGAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCOTSBURN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNGAREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTHURS SEAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARDEN CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KUNYUNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNOX CITY CENTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FYANSFORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARDROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARCADIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOTHAM HILL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELLARINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRENTFORD SQUARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADELAIDE LEAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOOBOOBETIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEDFORD ROAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEATHWOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATHUMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONEGEETTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURMUNGEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALDER PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARNAWARTHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS KEYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLOWERDALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULLARTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KADNOOK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARUNAH PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLUMPTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIG HILL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAMAWM EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASTLE DONNINGTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARENGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
