suburb,livable,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
RESERVOIR,27.85000000000001,33.0,1.0,9.0,2.0,1.0,0.0,0.0,317.0,302.0,11.0,4.0
FRANKSTON,26.499999999999996,36.0,3.0,24.0,4.0,1.0,0.0,0.0,217.0,215.0,0.0,2.0
BERWICK,23.7,32.0,2.0,18.0,3.0,1.0,0.0,0.0,210.0,209.0,0.0,1.0
WERRIBEE,23.2,27.0,1.0,18.0,4.0,1.0,0.0,0.0,229.0,227.0,0.0,2.0
PRESTON,22.199999999999996,33.0,4.0,4.0,3.0,2.0,0.0,0.0,207.0,165.0,40.0,2.0
MELBOURNE,21.549999999999997,20.0,14.0,23.0,3.0,2.0,0.0,0.0,184.0,54.0,127.0,3.0
SUNBURY,21.0,23.0,2.0,14.0,1.0,1.0,0.0,0.0,228.0,227.0,0.0,1.0
MORNINGTON,20.849999999999998,19.0,2.0,62.0,1.0,1.0,0.0,0.0,106.0,106.0,0.0,0.0
CROYDON,19.35,25.0,2.0,24.0,1.0,1.0,0.0,0.0,153.0,152.0,0.0,1.0
COBURG,18.45,23.0,2.0,22.0,4.0,1.0,0.0,0.0,143.0,105.0,36.0,2.0
KEW,17.85,25.0,3.0,21.0,6.0,1.0,0.0,0.0,115.0,68.0,47.0,0.0
WODONGA,16.9,19.0,1.0,70.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HOPPERS CROSSING,16.75,25.0,0.0,3.0,2.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0
EPPING,16.15,23.0,0.0,3.0,2.0,1.0,0.0,0.0,166.0,164.0,0.0,2.0
FOOTSCRAY,15.999999999999998,24.0,2.0,14.0,2.0,1.0,0.0,0.0,117.0,99.0,15.0,3.0
ENDEAVOUR HILLS,15.9,24.0,1.0,13.0,2.0,0.0,0.0,0.0,126.0,126.0,0.0,0.0
DANDENONG,15.899999999999999,15.0,3.0,16.0,4.0,1.0,0.0,0.0,156.0,155.0,0.0,1.0
CRAIGIEBURN,15.85,22.0,0.0,6.0,1.0,0.0,0.0,0.0,163.0,162.0,0.0,1.0
FERNTREE GULLY,15.849999999999998,21.0,3.0,11.0,4.0,1.0,0.0,0.0,134.0,133.0,0.0,1.0
PAKENHAM,15.75,26.0,1.0,3.0,1.0,1.0,0.0,0.0,140.0,138.0,0.0,2.0
RINGWOOD,15.55,19.0,3.0,20.0,1.0,1.0,0.0,0.0,121.0,119.0,0.0,2.0
