suburb,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation
MILLGROVE,3,0,1,0,0,0,0,5
SAWMILL SETTLEMENT,1,0,0,0,0,0,0,0
TANYBRYN,1,0,0,0,0,0,0,0
BALWYN,12,1,12,1,1,0,0,52
CORRYONG,6,1,2,3,1,0,0,0
SEBASTOPOL,12,0,5,0,0,0,0,0
ST KILDA,10,5,8,2,1,0,0,97
SPRINGVALE,21,1,3,1,1,0,0,88
ORBOST,7,1,5,1,1,0,0,0
BROADMEADOWS,23,2,4,2,1,0,0,89
CHURCHILL,11,0,7,1,2,1,0,0
BALLARAT EAST,11,0,2,0,0,0,0,0
CASTLEMAINE,7,1,1,2,0,0,0,0
KINGS PARK,6,0,5,0,0,0,0,33
HAMLYN HEIGHTS,10,0,6,0,0,0,0,0
NOBLE PARK,18,1,10,2,0,0,0,77
THE BASIN,5,0,2,0,0,0,0,17
BRIGHTON EAST,13,0,6,0,0,0,0,65
DANDENONG NORTH,12,0,3,3,0,0,0,112
MALVERN,9,0,5,1,1,0,0,50
BANGHOLME,3,0,0,0,0,0,0,13
CRANBOURNE NORTH,11,0,2,0,0,0,0,76
FLORA HILL,4,0,0,0,0,0,0,0
BAYSWATER,12,2,2,1,0,0,0,63
DANDENONG,15,3,16,4,1,0,0,156
FERNTREE GULLY,21,3,11,4,1,0,0,134
MELTON WEST,8,1,9,1,0,0,0,51
TEMPLESTOWE LOWER,14,0,2,1,0,0,0,63
PASCOE VALE,10,0,8,0,0,0,0,61
TRAFALGAR,6,2,3,0,1,0,0,0
CAULFIELD NORTH,7,1,1,4,0,0,0,82
PASCOE VALE SOUTH,6,1,7,2,1,0,0,48
CRANBOURNE WEST,8,0,1,1,0,0,0,35
TOLMIE,1,0,0,0,0,0,0,0
ALEXANDRA,5,1,2,2,1,0,0,1
ALTONA,10,2,17,1,0,0,0,64
HURSTBRIDGE,4,0,5,0,1,0,0,4
WHITE HILLS,6,0,3,0,0,0,0,0
BROADFORD,3,1,0,0,1,1,0,0
MOE SOUTH,1,0,0,0,0,0,0,0
HIGHTON,11,0,20,1,0,0,0,0
HAWTHORN EAST,12,1,7,1,0,0,0,18
SOUTH YARRA,12,2,4,2,1,0,0,79
LAKE WENDOUREE,6,0,2,0,0,0,0,0
CARRUM DOWNS,13,0,3,1,0,0,0,105
ESSENDON,19,1,5,2,1,0,0,109
SHEPPARTON,34,1,10,6,1,0,0,0
BOORT,4,1,5,1,1,0,0,0
STRATHMORE,8,0,2,0,0,0,0,42
GLEN WAVERLEY,33,2,10,5,2,0,0,174
YALLOURN,1,0,2,0,0,0,0,0
NOTTING HILL,2,0,0,0,0,0,0,18
MONBULK,6,1,1,1,1,0,0,18
SCORESBY,5,1,5,0,0,0,0,53
THORNBURY,14,1,5,1,0,0,0,78
MERRIJIG,2,0,1,0,0,0,0,0
MORWELL,21,1,13,3,1,0,0,0
WERRIBEE,27,1,18,4,1,0,0,229
CLAYTON SOUTH,6,0,4,0,0,0,0,78
ST ARNAUD,5,1,1,1,1,0,0,0
KILSYTH,11,1,5,1,0,0,0,56
NAYOOK,2,0,0,0,0,0,0,0
MALMSBURY,3,0,0,0,1,0,0,0
POOWONG,3,1,1,0,0,0,0,0
PARKVILLE,4,3,5,6,1,0,0,54
STEWARTON,2,0,0,0,0,0,0,0
NATHALIA,6,1,1,1,1,0,0,0
FITZROY,10,1,1,4,1,0,0,36
RINGWOOD,19,3,20,1,1,0,0,121
ABERFELDIE,5,0,1,0,0,0,0,16
LAVERS HILL,2,0,1,0,0,0,0,0
STAWELL,14,1,5,1,1,0,0,0
MIRBOO NORTH,3,0,1,1,1,0,0,0
CASTERTON,4,1,3,1,1,0,0,0
TALLANGATTA,5,1,1,1,1,0,0,0
