suburb,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation
WYNDHAM VALE,6,0,10,1,0,0,0,60
BULN BULN,2,0,1,0,0,0,0,0
NOORINBEE,1,0,1,0,0,0,0,0
TALLANGATTA SOUTH,1,0,0,0,0,0,0,0
ST ANDREWS,1,0,0,0,0,0,0,0
ANGLESEA,2,0,4,0,1,0,0,0
KNOWSLEY,1,0,2,0,0,0,0,0
KONGWAK,1,1,1,0,0,0,0,0
GLEN ALVIE,1,0,0,0,0,0,0,0
KOONDROOK,2,0,4,0,1,0,0,0
PAYNESVILLE,3,0,5,1,0,0,0,0
PEARCEDALE,3,0,2,0,0,1,0,15
PEARSONDALE,1,0,0,0,0,0,0,0
BADDAGINNIE,2,0,0,0,0,0,0,0
TEESDALE,2,0,0,0,0,0,0,0
ELTHAM NORTH,3,0,3,1,0,0,0,23
BRANXHOLME,1,0,1,0,1,0,0,0
SOUTH MELBOURNE,9,3,4,1,2,0,0,49
BARNADOWN,1,0,0,0,0,0,0,0
RAWSON,1,1,1,0,2,0,0,0
AIRLY,1,0,0,0,0,0,0,0
ALBANVALE,2,0,3,0,0,0,0,18
ANAKIE,1,0,2,0,0,0,0,0
DRUMMOND,1,0,0,0,0,0,0,0
FAIRFIELD,4,1,1,2,0,0,0,41
BENDOC,2,0,3,0,1,0,0,0
STOCKDALE,1,0,0,0,0,1,0,0
RIPPLEBROOK,2,0,0,0,0,0,0,0
BUCHAN SOUTH,1,0,0,0,0,0,0,0
DEVON MEADOWS,1,0,0,0,0,0,0,15
DHURRINGILE,2,0,0,0,0,0,2,0
GRANYA,1,0,1,0,0,0,0,0
BRUTHEN,3,1,2,0,1,0,0,0
BALLAN,4,1,0,1,1,0,0,0
BALLIANG EAST,1,0,0,0,0,0,0,0
DALYSTON,1,0,2,0,0,0,0,0
WUNGHNU,1,0,1,0,0,0,0,0
YACKANDANDAH,4,1,0,1,1,0,0,0
TEAL POINT,1,0,0,0,0,0,0,0
BOUNDARY BEND,1,0,0,0,0,0,0,0
BREWSTER,1,0,0,0,0,0,0,0
BRIDGEWATER ON LODDON,1,0,1,0,1,0,0,0
BOSTOCKS CREEK,1,0,0,0,0,0,0,0
BANGERANG,1,0,1,0,0,0,0,0
BRIMPAEN,1,0,0,0,0,0,0,0
STRATHMERTON,1,0,1,0,0,0,0,0
YALLAMBIE,2,0,1,1,0,0,0,13
STRATHEWEN,1,0,1,0,0,0,0,0
STRATHFIELDSAYE,3,0,1,0,0,0,0,0
WELSHPOOL,2,2,1,0,0,0,0,0
TORRUMBARRY,2,0,4,0,0,0,0,0
WINCHELSEA,3,1,12,1,1,0,0,0
HIGHLANDS,1,0,0,0,0,0,0,0
BUANGOR,1,0,2,0,0,0,0,0
BUCKLEY SWAMP,1,0,0,0,0,0,0,0
WYCHITELLA,1,0,0,0,0,0,0,0
BULART,1,0,0,0,0,0,0,0
YALLOURN NORTH,2,0,4,0,0,0,0,0
MINHAMITE,1,0,0,0,0,0,0,0
MOLYULLAH,1,0,0,0,0,0,0,0
THORNTON,1,0,0,0,0,0,0,2
MAUDE,1,0,1,0,0,0,0,0
WESBURN,2,1,1,0,0,0,0,10
MOUNT TAYLOR,1,0,0,0,0,0,0,0
MOUNT WALLACE,1,0,1,0,0,0,0,0
RYANSTON,2,0,0,0,0,0,0,0
QUANTONG,1,0,0,0,0,0,0,0
ROKEWOOD,3,0,1,0,1,0,0,0
ROSSBRIDGE,1,0,0,0,0,0,0,0
SCOTSBURN,1,0,0,0,0,0,0,0
LOCKWOOD,2,0,0,0,0,0,0,0
ROMSEY,4,1,1,0,0,0,0,0
TALLAROOK,1,0,0,0,1,0,0,0
MUDGEGONGA,1,0,0,0,0,0,0,0
FRENCH ISLAND,1,1,2,0,0,0,1,0
MERTON,1,0,0,0,0,0,0,0
WILLUNG,2,0,0,0,0,0,0,0
ZEERUST,1,0,0,0,0,0,0,0
YOUANMITE,1,0,0,0,0,0,0,0
MYRNIONG,1,1,0,0,0,0,0,0
MYALL,1,0,0,0,0,0,0,0
BEVERIDGE,2,0,0,0,0,0,0,9
HARKNESS,2,0,9,0,0,0,0,37
CRESSY,1,0,0,0,1,0,0,0
PLUMPTON,1,0,0,0,0,0,0,0
TALGARNO,2,0,1,0,0,0,0,0
YERING,1,0,1,0,0,0,0,0
YELLINGBO,1,0,1,0,0,0,0,0
YINNAR,2,1,0,0,0,0,0,0
YINNAR SOUTH,1,0,1,0,0,0,0,0
YUNDOOL,1,0,0,0,0,0,0,0
SWANPOOL,2,0,0,0,0,0,0,0
TATONG,1,0,0,0,0,0,0,0
SKIPTON,2,1,3,1,1,0,0,0
TARNAGULLA,1,0,4,0,1,0,0,0
MINCHA WEST,1,0,0,0,0,0,0,0
BONEGILLA,1,0,0,0,0,0,0,0
CULGOA,1,0,1,0,1,0,0,0
DADSWELLS BRIDGE,1,0,0,0,0,0,0,0
CARLISLE RIVER,2,0,0,0,0,0,0,0
CARPENDEIT,1,0,0,0,0,0,0,0
CARWARP,1,0,0,0,0,0,0,0
CASHMORE,1,1,0,0,0,0,0,0
CASTLE DONNINGTON,1,0,0,0,0,0,0,0
TALLANDOON,1,0,0,0,0,0,0,0
LITTLE RIVER,2,0,9,0,0,0,0,0
WINTON,1,0,0,0,0,0,0,0
CHETWYND,1,0,0,0,0,0,0,0
CLARENDON,1,0,0,0,0,0,0,0
CLEAR LAKE,1,0,0,0,0,0,0,0
MYRTLE CREEK,1,0,0,0,0,0,0,0
LOCH,2,0,1,0,1,0,0,0
MYRTLEBANK,1,0,0,0,0,0,0,0
MYWEE,1,0,2,0,0,0,0,0
NAGAMBIE,3,1,2,0,1,0,0,0
LOCH SPORT,1,0,5,0,0,0,0,0
NAMBROK,2,0,1,0,0,0,0,0
NAR NAR GOON,4,1,1,0,0,0,0,0
NARRACAN,1,0,0,0,0,0,0,0
NARRE WARREN EAST,1,0,2,1,0,0,0,9
NARRE WARREN NORTH,2,0,7,0,0,0,0,19
LISMORE,2,1,2,1,1,0,0,0
MOONAMBEL,1,6,1,0,0,0,0,0
NICHOLS POINT,2,0,4,0,0,0,0,0
NORADJUHA,1,0,1,0,0,0,0,0
NULLAWIL,1,0,1,0,0,0,0,0
COGHILLS CREEK,1,0,0,0,0,0,0,0
COLERAINE,3,1,5,1,0,0,0,0
CONCONGELLA,1,0,2,0,0,0,0,0
KADNOOK,1,0,0,0,0,0,0,0
ROSEDALE,2,1,8,0,1,0,0,0
LYNDHURST,1,0,1,0,0,0,0,16
DUNOLLY,2,1,6,1,1,0,0,0
GREENWALD,2,0,1,0,0,0,0,0
EDDINGTON,1,0,0,0,0,0,0,0
CORINDHAP,1,0,0,0,0,0,0,0
ELINGAMITE,1,0,0,0,0,0,0,0
ELLERSLIE,1,0,0,0,0,0,0,0
ELLIMINYT,3,0,0,0,0,0,0,0
ELMHURST,1,0,2,0,1,0,0,0
RIDDELLS CREEK,3,0,0,0,1,0,0,0
YANDOIT,1,0,0,0,0,0,0,0
YANNATHAN,1,0,0,0,0,0,0,0
LANG LANG,3,0,0,1,1,0,0,0
VAUGHAN,1,0,0,0,0,0,0,0
YARCK,1,0,0,0,0,0,0,0
YARRA GLEN,2,0,0,1,1,0,0,4
CROYDON NORTH,7,0,11,0,0,0,0,30
YARRAGON SOUTH,1,0,0,0,0,0,0,0
YARRAMBAT,3,0,1,0,0,0,0,21
PANMURE,1,1,0,0,0,0,0,0
NETHERBY,2,0,0,0,0,0,0,0
BEEAC,1,0,0,1,1,0,0,0
BEALIBA,1,0,2,0,0,0,0,0
BERRIWILLOCK,1,0,1,0,0,0,0,0
BEULAH,2,1,0,0,1,0,0,0
SUTHERLANDS CREEK,1,0,0,0,0,0,0,0
SUTTON GRANGE,1,0,0,0,0,0,0,0
SURREY HILLS,8,1,4,1,0,0,0,63
LINDENOW SOUTH,1,0,1,0,0,0,0,0
KENSINGTON,3,0,9,3,0,0,0,26
DEEPDENE,2,0,3,1,0,0,0,9
BLACK HILL,2,0,1,0,0,0,0,0
BIRREGURRA,2,0,0,1,1,0,0,0
MURCHISON,2,0,0,1,1,0,0,0
WON WRON,2,0,2,0,0,0,0,0
HALLS GAP,1,0,2,0,0,0,0,0
AMPHITHEATRE,1,0,2,0,0,0,0,0
MACARTHUR,3,1,1,0,1,0,0,0
AREEGRA,1,0,0,0,0,0,0,0
WOOL WOOL,1,0,0,0,0,0,0,0
ARNOLD,1,0,2,0,0,0,0,0
STONY CREEK,1,0,0,0,0,0,0,0
WOODS POINT,1,0,1,1,1,0,0,0
WOODSIDE,1,1,3,0,0,0,0,0
WOODGLEN,2,0,0,0,0,0,0,0
HUNTLY,2,1,2,0,0,0,0,0
BENA,1,0,0,0,0,0,0,0
IRONBARK,1,0,2,0,0,0,0,0
CLARKES HILL,1,0,0,0,0,0,0,0
STRATFORD,3,1,12,0,1,0,0,0
AVOCA,2,1,1,0,1,0,0,0
ASCOT,2,0,0,0,0,0,0,0
BALLARAT NORTH,3,0,0,0,0,0,0,0
BOLWARRA,2,0,1,0,0,0,0,0
CHILTERN,3,1,0,0,1,0,0,0
BANYENA,1,0,0,0,0,0,0,0
BARINGHUP,1,0,3,0,0,0,0,0
BARKLY,1,0,0,0,0,0,0,0
BARONGAROOK,1,0,0,0,0,0,0,0
BROWN HILL,1,0,2,0,0,0,0,0
CALLAWADDA,1,0,0,0,0,0,0,0
MOUNT DANDENONG,2,0,4,0,0,0,0,37
MOUNT DUNEED,2,1,4,0,0,0,0,0
MOUNT EGERTON,1,1,0,0,0,0,0,0
MOUNT MORIAC,1,0,0,0,0,0,0,0
MOUNT BEST,1,0,0,0,0,0,0,0
LANDSBOROUGH,1,0,0,0,1,0,0,0
SOLDIERS HILL,5,0,1,1,0,0,0,0
MAFEKING,1,0,1,0,0,0,0,0
NARINGAL,1,0,0,0,0,0,0,0
NATIMUK,2,1,1,0,1,0,0,0
GARFIELD,3,1,1,0,0,0,0,0
CAMPBELLTOWN,1,0,0,0,0,0,0,0
CAPE CLEAR,1,0,0,0,0,0,0,0
CARDIGAN,1,0,0,0,0,0,0,0
CARISBROOK,1,1,4,0,0,0,0,0
BOOKAAR,1,0,1,0,0,0,0,0
BOOLITE,1,0,0,0,0,0,0,0
REDESDALE,2,1,1,0,0,0,0,0
RED HILL,2,0,1,0,0,0,0,0
STRATH CREEK,1,0,1,0,0,0,0,0
OUTTRIM,1,0,0,0,0,0,0,0
OXLEY,1,0,0,0,0,0,0,0
MENZIES CREEK,3,0,1,0,0,0,0,6
MEREDITH,3,0,0,0,1,0,0,0
PATHO,1,0,2,0,0,0,0,0
PATTERSON LAKES,4,0,3,0,0,0,0,29
KEW EAST,5,1,4,0,0,0,0,37
KIALLA,2,1,4,0,0,0,0,0
KIALLA WEST,1,0,0,0,0,0,0,0
TANGAMBALANGA,3,1,0,0,1,0,0,0
KILMANY,1,0,1,0,0,0,0,0
KORWEINGUBOORA,1,0,0,0,0,0,0,0
LABERTOUCHE,1,0,0,0,0,0,0,0
LEICHARDT,1,0,0,0,0,0,0,0
LEITCHVILLE,2,0,1,0,0,0,0,0
LEONGATHA SOUTH,1,1,0,0,0,0,0,0
BUNBARTHA,1,0,0,0,0,0,0,0
BAILIESTON,1,0,0,0,0,0,0,0
SKYE,1,0,0,0,0,0,0,8
SORRENTO,3,2,14,0,1,0,0,47
WAHGUNYAH,2,2,0,0,0,0,0,0
SPRINGHURST,1,0,0,0,0,0,0,0
WATTLE GLEN,1,0,1,0,0,0,0,3
BACCHUS MARSH,5,1,1,2,1,0,0,0
HAZELWOOD NORTH,1,0,0,0,0,0,0,0
BANDIANA,1,1,2,0,0,0,0,0
WONYIP,1,0,1,0,0,0,0,0
BARMAH,1,0,1,0,0,0,0,0
GNARWARRE,2,0,1,0,0,0,0,0
BATESFORD,2,0,1,0,0,0,0,0
BARWON HEADS,2,0,4,0,1,0,0,0
BAXTER,3,0,4,0,0,0,0,11
BELGRAVE SOUTH,2,0,2,0,0,0,0,12
BELLARINE,2,0,0,0,0,0,0,0
CHELSEA HEIGHTS,3,1,0,0,0,0,0,41
CHRISTMAS HILLS,1,0,3,0,0,0,0,0
CHUM CREEK,1,0,0,0,0,0,0,2
CLARKEFIELD,1,0,0,0,0,0,0,0
CLOVERLEA,2,0,0,0,0,0,0,0
CLUB TERRACE,1,0,1,0,0,0,0,0
COALVILLE,1,0,0,0,0,0,0,0
COBAINS,1,0,1,0,0,0,0,0
PANTON HILL,1,0,9,1,0,0,0,0
PARK ORCHARDS,4,0,4,0,0,0,0,24
YARRAGON,4,1,1,0,1,0,0,0
SHEPPARTON EAST,1,0,0,0,0,0,0,0
BRIAR HILL,4,0,1,0,0,0,0,16
SILVAN,2,0,0,0,0,0,0,18
EDI,1,0,0,0,0,0,0,0
KINGLAKE,1,0,1,0,0,0,0,1
BUCHAN,1,0,2,0,1,0,0,0
BUFFALO,1,0,0,0,0,0,0,0
BULLARTO,1,0,0,0,0,0,0,0
BULLENGAROOK,1,0,0,0,0,0,0,0
BUNYIP,4,1,3,1,1,0,0,0
BURNLEY,1,0,3,0,0,0,0,5
BURRAMINE SOUTH,1,0,0,0,0,0,0,0
DOCKER,2,0,0,0,0,0,0,0
MERRIGUM,4,0,2,0,0,0,0,0
CABBAGE TREE CREEK,1,0,1,0,0,0,0,0
CALDERMEADE,1,0,0,0,0,0,0,0
CALIFORNIA GULLY,3,0,3,0,0,0,0,0
BUXTON,2,0,0,0,0,1,0,2
DRIFFIELD,1,0,1,0,0,0,0,0
DROUIN SOUTH,1,0,0,0,0,0,0,0
DROUIN WEST,1,0,1,0,0,0,0,0
TYERS,2,1,3,0,0,0,0,0
TYLDEN,1,0,0,0,0,0,0,0
UPPER PLENTY,1,0,0,0,0,0,0,0
SANDY CREEK,2,0,0,0,0,0,0,0
WALWA,2,0,0,0,1,0,0,0
WANDILIGONG,1,1,1,0,0,0,0,0
WANDIN EAST,1,0,0,0,0,0,0,0
WANDIN NORTH,4,0,0,0,0,0,0,15
DENISON,1,0,1,0,0,0,0,0
WANDONG,3,0,0,0,0,0,0,0
MODEWARRE,1,0,1,0,0,0,0,0
BUNGAREE,1,0,0,0,0,0,0,0
MOOLAP,2,1,4,0,0,1,0,0
MOONDARRA,1,0,0,0,0,0,0,0
MORIAC,3,0,1,0,0,0,0,0
DRUMMARTIN,1,0,1,0,0,0,0,0
WAAIA,2,0,0,0,0,0,0,0
BALLENDELLA,1,0,0,0,0,0,0,0
CAMPBELLFIELD,3,0,1,0,0,0,0,41
CARBOOR,1,0,0,0,0,0,0,0
CARLSRUHE,1,0,0,0,0,0,0,0
CARLTON NORTH,3,1,3,0,0,0,0,37
CARNEGIE,5,2,1,1,0,0,0,60
CARRAJUNG,1,0,1,0,0,0,0,0
KNOXFIELD,3,0,3,1,0,0,0,53
CERES,1,0,2,0,0,0,0,0
ELPHINSTONE,1,0,0,0,0,0,0,0
CHESHUNT,1,0,0,0,0,0,0,0
CHEWTON,1,0,0,0,0,0,0,0
EUMEMMERRING,2,0,4,0,0,0,0,7
EVERTON,1,0,0,0,0,0,0,0
TARRAWINGEE,2,0,0,0,0,0,0,0
CLIFTON CREEK,1,0,0,0,0,0,0,0
FERNY CREEK,1,0,0,0,0,0,0,12
SEAHOLME,2,0,9,0,0,0,0,6
SEASPRAY,1,1,2,0,0,0,0,0
SEAVIEW,1,0,1,0,0,0,0,0
SEBASTIAN,1,1,0,0,0,0,0,0
SHELBOURNE,1,0,0,0,0,0,0,0
TOONGABBIE,1,0,1,0,0,0,0,0
TOORA,2,1,3,0,1,0,0,0
TOORADIN,2,0,1,1,0,0,0,6
TOORLOO ARM,2,0,6,0,0,0,0,0
TRARALGON SOUTH,2,0,2,0,0,0,0,0
TRENTHAM,2,1,0,1,1,0,0,0
BUCKLEY,1,0,0,0,0,0,0,0
BUDGEREE,1,0,1,0,0,0,0,0
CAIRNLEA,3,0,6,2,0,0,0,15
DEVENISH,1,0,0,0,0,0,0,0
DIGGERS REST,2,0,9,0,0,0,0,13
PRAIRIE,1,0,0,0,0,0,0,0
DINGLEY VILLAGE,6,0,6,0,0,0,0,63
DOOKIE,2,0,1,0,1,0,0,0
TULLAMARINE,4,1,2,0,0,0,0,55
MICKLEHAM,2,0,3,0,0,0,0,33
EAST WARBURTON,1,0,1,0,0,5,0,10
MILLBROOK,2,0,0,0,0,0,0,0
MITIAMO,1,1,3,0,0,0,0,0
MITTA MITTA,2,0,1,0,1,0,0,0
ESKDALE,3,0,1,0,0,0,0,0
COSGROVE,1,0,1,0,0,0,0,0
MONT ALBERT,1,0,0,0,0,0,0,26
POOWONG NORTH,2,0,0,0,0,0,0,0
POREPUNKAH,1,1,5,0,0,0,0,0
MOOROODUC,3,0,4,0,0,0,0,0
ARDMONA,3,0,1,0,0,0,0,0
MOOROOPNA NORTH WEST,2,0,0,0,0,0,0,0
PUCKAPUNYAL,1,1,0,0,0,0,0,0
INDIGO VALLEY,1,0,0,0,0,0,0,0
RAVENSWOOD SOUTH,1,0,0,0,0,0,0,0
RAYWOOD,1,1,0,0,1,0,0,0
CARAG CARAG,1,0,0,0,0,0,0,0
ECHUCA VILLAGE,1,0,1,0,0,0,0,0
ECHUCA WEST,1,0,0,0,0,0,0,0
EDI UPPER,1,0,0,0,0,0,0,0
EDITHVALE,3,0,3,1,0,0,0,30
ELAINE,1,0,0,0,0,0,0,0
ELLINBANK,1,0,0,0,0,0,0,0
ENSAY,1,0,2,0,0,0,0,0
AXE CREEK,1,0,0,0,0,0,0,0
EPSOM,1,1,1,0,0,0,0,0
EXFORD,1,0,0,0,0,0,0,0
FALLS CREEK,1,0,0,1,0,0,0,0
INVERGORDON,1,0,1,0,0,0,0,0
INVERLEIGH,2,0,1,0,1,0,0,0
INVERLOCH,2,0,6,0,1,0,0,0
JACANA,2,0,1,0,0,0,0,17
TOOBORAC,1,0,1,0,0,0,0,0
TOOLANGI,1,0,5,0,0,0,0,0
TOOLERN VALE,1,0,1,0,0,0,0,0
TOOTGAROOK,2,0,5,1,0,0,0,31
TRAGOWEL,1,0,0,0,0,0,0,0
MEAD,1,0,0,0,0,0,0,0
MEERLIEU,1,0,1,0,0,0,0,0
DEDERANG,3,0,1,0,2,0,0,0
GOORAM,1,0,0,0,0,0,0,0
GRAHAMVALE,1,0,0,0,0,0,0,0
WY YUNG,3,0,2,0,0,0,0,0
GRETA,1,0,0,0,0,0,0,0
HANSONVILLE,1,0,0,0,0,0,0,0
GRETA WEST,1,0,0,0,0,0,0,0
GRUYERE,1,0,0,0,0,0,0,0
GUILDFORD,1,1,0,0,0,0,0,0
GUNBOWER,3,0,3,0,1,0,0,0
HALLSTON,1,0,0,0,0,0,0,0
HARKAWAY,1,0,3,0,0,0,0,0
AVENEL,3,0,0,0,0,0,0,0
KINGLAKE CENTRAL,1,0,0,0,0,0,0,13
PICOLA,1,1,4,0,0,2,0,0
POINT LONSDALE,1,1,5,0,0,0,0,0
POWELLTOWN,1,0,0,0,0,1,0,0
LANGSBOROUGH,1,0,1,0,0,0,0,0
SPOTSWOOD,3,0,6,0,0,0,0,15
QUARRY HILL,2,0,1,1,0,0,0,0
STACEYS BRIDGE,1,0,0,0,0,0,0,0
STANHOPE,3,0,1,0,1,0,0,0
STANLEY,1,0,0,0,0,0,0,0
PYALONG,2,0,0,0,1,0,0,0
STEELS CREEK,1,0,1,0,0,0,0,0
BRIMIN,1,0,0,0,0,0,0,0
DUMBALK NORTH,1,0,0,0,0,0,0,0
DUMBALK,2,0,1,0,0,0,0,0
HARRIETVILLE,1,0,3,0,0,0,0,0
HARSTON,1,0,0,0,0,0,0,0
HEDLEY,1,1,1,0,0,0,0,0
CAPEL SOUND,1,0,4,1,0,0,0,43
HEPBURN,2,0,2,0,0,0,0,0
HILL END,1,0,0,0,0,0,0,0
HODDLES CREEK,1,0,0,0,0,0,0,0
BEMM RIVER,1,0,6,0,0,0,0,0
BENAMBRA,2,0,3,0,1,0,0,0
NORTH BENDIGO,6,0,1,0,0,0,0,0
BETHANGA,1,1,0,0,0,0,0,0
NARBETHONG,1,0,1,0,0,1,0,2
BRIAGOLONG,2,1,4,0,1,0,0,0
MEADOW HEIGHTS,6,0,3,0,0,0,0,60
TOOLAMBA,3,0,1,0,0,0,0,0
TOOLAMBA WEST,1,0,0,0,0,0,0,0
MURROON,1,0,0,0,0,0,0,0
PIANGIL,1,0,0,0,1,0,0,0
PIMPINIO,1,0,1,0,0,0,0,0
ST ARNAUD EAST,1,0,0,0,0,0,0,0
LETHBRIDGE,1,0,0,0,0,0,0,0
LICOLA,1,1,2,0,0,0,0,0
BUNDALAGUAH,1,0,0,0,0,0,0,0
PORTLAND WEST,1,0,3,0,0,0,0,0
ATTWOOD,3,0,0,1,0,0,0,5
RUPANYUP,3,1,0,1,1,0,0,0
ST HELENS PLAINS,1,0,0,0,0,0,0,0
ST HELENS,1,0,0,0,0,0,0,0
STREATHAM,1,1,0,0,0,0,0,0
TOOLONG,1,0,0,0,0,0,0,0
IONA,1,0,0,0,0,0,0,0
PIPERS CREEK,1,0,0,0,0,0,0,0
PLENTY,1,0,3,0,0,0,0,12
HESKET,1,0,0,0,0,0,0,0
BARKERS CREEK,1,0,1,0,0,0,0,0
BARNAWARTHA,1,0,0,0,0,0,0,0
CARRAJUNG LOWER,1,0,1,0,0,0,0,0
CARRUM,2,0,0,1,0,0,0,29
COROP,1,0,1,0,0,0,0,0
GELANTIPY,1,0,0,1,0,0,0,0
FISH POINT,1,0,0,0,0,0,0,0
KORONG VALE,1,0,2,0,1,0,0,0
LAHARUM,2,0,3,0,0,1,0,0
COCKATOO,5,0,1,0,0,0,0,17
TAGGERTY,1,0,1,0,0,1,0,2
TALLANGATTA VALLEY,1,0,1,0,0,0,0,0
NANNEELLA,1,0,0,0,0,0,0,0
HERNE HILL,3,0,5,1,0,0,0,0
WOODEND,4,1,2,2,1,0,0,0
KOTUPNA,1,0,0,0,0,0,0,0
PHEASANT CREEK,3,0,0,0,0,0,0,8
NORTH BLACKWOOD,1,0,0,0,0,0,0,0
HARCOURT NORTH,1,0,0,0,0,0,0,0
CAVENDISH,2,0,0,0,1,0,0,0
STAUGHTON VALE,1,1,0,0,0,0,0,0
DENNINGTON,4,0,3,0,0,0,0,0
NORTH WONTHAGGI,3,0,1,0,0,0,0,0
KROWERA,1,0,0,0,0,0,0,0
KYVALLEY,1,0,1,0,0,0,0,0
BULLA,1,0,1,0,0,0,0,5
BULLIOH,1,0,0,0,0,0,0,0
MIDDLE TARWIN,1,1,0,0,0,0,0,0
MILAWA,1,0,0,0,0,0,0,0
LEOPOLD,4,0,18,0,0,0,0,0
MARCUS HILL,1,0,0,0,0,0,0,0
WESTMERE,1,0,1,0,0,0,0,0
CARAMUT,1,1,2,0,0,0,0,0
BRIM,1,1,1,0,0,0,0,0
CANIAMBO,1,0,0,0,0,0,0,0
EAGLE POINT,1,0,0,0,0,0,0,0
HAMPTON EAST,2,0,2,0,0,0,0,21
ROCKBANK,2,0,2,0,0,0,0,7
ROKEBY,1,0,0,0,0,0,0,0
LINDENOW,3,1,1,0,1,0,0,0
MUSK VALE,1,0,0,0,0,0,0,0
MUSK,1,0,0,0,0,0,0,0
MYRRHEE,1,0,0,0,0,0,0,0
GOORAMBAT,1,0,0,0,0,0,0,0
GOORNONG,1,0,0,0,1,0,0,0
GORDON,1,1,0,0,1,0,0,0
AINTREE,1,0,7,0,0,0,0,19
DOCKLANDS,3,4,7,1,1,0,0,45
EYNESBURY,1,0,4,0,0,0,0,0
MANDURANG SOUTH,1,0,0,0,0,0,0,0
CUDGEE,1,0,0,0,0,0,0,0
BYADUK,1,0,1,0,0,0,0,0
HADFIELD,5,0,5,0,0,0,0,44
BUNINYONG,2,1,3,0,1,0,0,0
HARCOURT,1,0,1,0,0,0,0,0
HEATHERTON,2,0,6,1,0,0,0,34
CARDINIA,1,0,0,0,0,0,0,0
LONDRIGAN,1,0,0,0,0,0,0,0
NUNGURNER,1,0,0,0,0,0,0,0
BERRYS CREEK,1,0,0,0,0,0,0,0
SAILORS GULLY,1,0,0,0,0,0,0,0
TUNGAMAH,3,0,1,0,1,0,0,0
METCALFE,1,0,0,0,0,0,0,0
METUNG,2,0,4,0,0,0,0,0
ST JAMES,1,0,0,0,1,0,0,0
THE PATCH,2,0,0,0,0,0,0,9
UNDERBOOL,2,1,1,0,1,0,0,0
WOORINEN,1,0,1,0,0,0,0,0
WOORINEN SOUTH,4,0,0,0,0,0,0,0
SNAKE VALLEY,2,0,0,0,0,0,0,0
ARDEER,2,0,3,0,0,0,0,14
ARTHURS CREEK,1,0,2,0,0,0,0,0
MURCHISON EAST,1,0,1,0,0,0,0,0
JUMBUNNA,1,0,0,0,0,0,0,0
DERRIMUT,3,0,6,0,0,0,0,24
LARDNER,2,0,0,0,0,0,0,0
BROKEN CREEK,1,0,0,0,0,0,0,0
LANCEFIELD,4,0,0,0,2,0,0,0
SEDGWICK,1,0,0,0,0,0,0,0
SELBY,2,0,2,0,0,0,0,10
TEMPLESTOWE,8,0,5,2,0,0,0,117
SEVILLE,2,0,0,0,0,0,0,9
PARKDALE,5,0,4,3,0,0,0,34
LONGWOOD,1,0,1,0,0,0,0,0
GARVOC,1,0,0,0,0,0,0,0
BOORCAN,1,0,1,0,0,0,0,0
JUNG,1,0,1,0,0,0,0,0
BALD HILLS,1,0,0,0,0,0,0,0
BERRINGA,1,0,0,0,0,0,0,0
BULLAROOK,1,0,0,0,0,0,0,0
BYLANDS,1,0,0,0,0,0,0,0
AXEDALE,1,0,0,0,1,0,0,0
ST LEONARDS,1,0,6,0,0,0,0,0
MAIDEN GULLY,2,0,0,0,0,0,0,0
TEMPY,1,1,0,0,0,0,0,0
TESBURY,2,0,0,0,0,0,0,0
YAAPEET,1,1,0,0,0,0,0,0
WARRAK,1,0,0,0,0,0,0,0
WARRENHEIP,1,0,0,0,0,0,0,0
WARRONG,1,0,0,0,0,0,0,0
WALKERVILLE SOUTH,1,0,0,0,0,0,0,0
WALLINGTON,1,0,3,0,0,0,0,0
COMBIENBAR,1,0,1,0,0,0,0,0
EILDON,2,1,2,1,1,0,0,1
ELMORE,3,1,1,1,0,0,0,0
ACHERON,2,0,0,0,0,0,0,2
ALBERTON,1,1,1,0,0,0,0,0
ALBERTON WEST,1,0,1,0,0,0,0,0
ALBION,3,0,5,2,0,0,0,23
BITTERN,2,0,8,0,0,0,0,8
BLACK ROCK,4,1,2,0,1,0,0,32
DOOEN,1,0,1,0,0,0,0,0
WANDELLA,1,0,0,0,0,0,0,0
DUNNSTOWN,2,0,1,0,0,0,0,0
GOLDEN POINT,2,0,1,0,0,0,0,0
GLENORCHY,1,0,1,0,0,0,0,0
GORAE,2,0,0,0,0,0,0,0
KOLORA,1,0,0,0,0,0,0,0
JANCOURT,2,0,0,0,0,0,0,0
JEPARIT,3,1,3,1,1,0,0,0
LEXTON,1,0,1,0,1,0,0,0
LINTON,1,1,2,0,1,0,0,0
LEARMONTH,1,0,5,0,1,0,0,0
COIMADAI,1,0,0,0,0,0,0,0
MELVILLE FOREST,1,0,0,0,0,0,0,0
MEPUNGA EAST,1,0,0,0,0,0,0,0
MERINGUR,1,1,0,0,0,0,0,0
MERINO,2,0,0,0,1,0,0,0
COOMOORA,1,0,0,0,0,0,0,0
STRATHALLAN,2,0,0,0,0,1,0,0
GLENTHOMPSON,1,1,3,0,0,0,0,0
GILLIESTON,1,0,0,0,0,0,0,0
GIRGARRE,2,0,1,0,0,0,0,0
GLADYSDALE,1,1,1,0,0,0,0,0
GLENLYON,1,0,1,0,0,0,0,0
GLENROWAN,2,0,0,0,1,0,0,0
GLENGARRY,2,0,0,0,0,0,0,0
GLENGARRY WEST,1,0,0,0,0,0,0,0
