suburb,SECONDARY SCHOOL,PRIMARY AND SECONDARY SCHOOL,PRIMARY SCHOOL,SHOPPING CENTRE,PARK,KINDERGARTEN,POST OFFICE,SPECIAL SCHOOL,CHILD CARE,BAR,SPORTS COMPLEX,EDUCATION COMPLEX,CEMETERY,LIBRARY,UNIVERSITY,GENERAL HOSPITAL,POLICE STATION,FURTHER EDUCATION,PLAYGROUND,PLANTATION,WINERY,FARM,VINEYARD,TENNIS COURT,BAY,PIER,SWIMMING POOL,ART GALLERY,HARBOUR,COMMUNITY HEALTH CENTRE,MARKET,PRISON,BOTANIC GARDENS,SPECIALISED HOSPITAL,BANK,AGED CARE,SURFING SPOT,COAST,GOLF COURSE,HELIPORT,AIRPORT,IRON ORE PROCESSOR,MILL/TIMBER OPERATIONS,BEACH,TRAIN STATION,TRAM STATION,BUS
MOUNT CLEAR,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIEWBANK,2,0,1,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
DEVON NORTH,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN REMO,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
BEAUMARIS,3,0,3,1,2,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
SANDRINGHAM,5,0,3,0,4,4,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44
GLENROY,3,2,5,0,12,7,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,86
SUNSHINE NORTH,3,0,4,0,4,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
SUNSHINE WEST,5,0,7,0,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
ECHUCA,4,0,6,0,4,4,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BERWICK,9,0,9,1,17,14,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,209
OFFICER,3,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
MARYBOROUGH,7,0,1,0,16,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
