suburb,livable,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
CAMPBELLFIELD,2.4,0.0,1.0,0.0,0.0,0.0,0.0,41.0,40.0,0.0,1.0
DELAHEY,2.35,0.0,2.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0
IRYMPLE,2.3000000000000003,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLADSTONE PARK,2.3000000000000003,1.0,2.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0
COBRAM,2.3,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SEYMOUR,2.3,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KORUMBURRA,2.3,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BROOKLYN,2.25,0.0,3.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0
HUGHESDALE,2.2,0.0,0.0,1.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0
NEWBOROUGH,2.2,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEACONSFIELD,2.2,0.0,3.0,0.0,0.0,0.0,0.0,25.0,24.0,0.0,1.0
WARBURTON,2.1999999999999997,1.0,5.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,0.0
BELLFIELD,2.1,0.0,5.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0
BOORT,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WILLIAMS LANDING,2.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,26.0,0.0,1.0
MOE,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STAWELL,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBOTSFORD,2.0,2.0,1.0,0.0,1.0,0.0,0.0,26.0,13.0,11.0,2.0
EAGLEHAWK,1.9999999999999998,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WENDOUREE,1.9999999999999998,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHADSTONE,1.9500000000000002,0.0,2.0,1.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0
COLERAINE,1.9,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PETERBOROUGH,1.9,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BOOLE POOLE,1.9,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INVERLOCH,1.9,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KEALBA,1.9,0.0,3.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
KOOYONG,1.9,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,1.0
HURSTBRIDGE,1.85,0.0,5.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0
CARRUM,1.8000000000000003,0.0,0.0,1.0,0.0,0.0,0.0,29.0,28.0,0.0,1.0
YARRAWONGA,1.8,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYNESVILLE,1.8,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCCRAE,1.8,0.0,1.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0
ALBANVALE,1.7999999999999998,0.0,3.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0
BAXTER,1.7999999999999998,0.0,4.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,1.0
COLLINGWOOD,1.75,1.0,0.0,2.0,0.0,0.0,0.0,21.0,12.0,9.0,0.0
DALLAS,1.7000000000000002,1.0,2.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
WONTHAGGI,1.7,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COHUNA,1.7,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OUYEN,1.7,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WARRACKNABEAL,1.6999999999999997,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CORRYONG,1.6999999999999997,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NIDDRIE,1.6500000000000001,1.0,0.0,0.0,0.0,0.0,0.0,31.0,27.0,4.0,0.0
ASPENDALE,1.65,0.0,2.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,1.0
DEEPDENE,1.65,0.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0
ARDEER,1.6,0.0,3.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0
POINT LONSDALE,1.6,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREMORNE,1.55,0.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,9.0,1.0
EUMEMMERRING,1.55,0.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
ALFREDTON,1.5,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOLLO BAY,1.5,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WHITTINGTON,1.5,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOMSON,1.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEBASTOPOL,1.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRATHTULLOH,1.5,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
RIPPLESIDE,1.5,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLENTY,1.5,0.0,3.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0
BARANDUDA,1.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELL PARK,1.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONNEWARRE,1.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEXANDRA,1.45,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
COWES,1.4,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CRESWICK,1.4,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BONBEACH,1.4,0.0,2.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,1.0
SKIPTON,1.4,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNYIP,1.4,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KILMORE,1.4,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KALORAMA,1.4,0.0,2.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
WOODEND,1.4,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MONT ALBERT,1.35,0.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,6.0,1.0
NARRE WARREN EAST,1.35,0.0,2.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
LYNBROOK,1.35,0.0,2.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0
BARWON HEADS,1.3,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SEDDON,1.3,0.0,1.0,0.0,0.0,0.0,0.0,19.0,18.0,0.0,1.0
ANGLESEA,1.3,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KIALLA,1.3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUEENSCLIFF,1.2999999999999998,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WHITTLESEA,1.2500000000000002,0.0,0.0,0.0,1.0,0.0,0.0,23.0,23.0,0.0,0.0
WINDSOR,1.25,1.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,14.0,1.0
PEARCEDALE,1.25,0.0,2.0,0.0,0.0,1.0,0.0,15.0,15.0,0.0,0.0
YALLAMBIE,1.25,0.0,1.0,1.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0
LOWER PLENTY,1.25,0.0,2.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0
YARRAM,1.2000000000000002,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BAROOGA,1.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EYNESBURY,1.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAFALGAR,1.2,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BURNLEY,1.2,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0
EPPALOCK,1.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METUNG,1.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORRUMBARRY,1.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOOLAP,1.2,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCKINNON,1.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,1.0
JACANA,1.1500000000000001,0.0,1.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0
EILDON,1.15,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
LYNDHURST,1.15,0.0,1.0,0.0,0.0,0.0,0.0,16.0,15.0,0.0,1.0
SEABROOK,1.1,0.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
FOSTER,1.1,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEATHCOTE,1.1,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PENSHURST,1.1,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DAYLESFORD,1.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WOLLERT,1.1,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0
ABERFELDIE,1.1,0.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
BRIAR HILL,1.1,0.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
TRAVANCORE,1.1,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0
BACCHUS MARSH,1.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KYABRAM,1.1,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DIMBOOLA,1.1,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DROUIN,1.0999999999999999,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNINYONG,1.0999999999999999,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAULFIELD EAST,1.05,0.0,0.0,1.0,0.0,0.0,0.0,14.0,10.0,3.0,1.0
KINGSBURY,1.05,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,3.0,0.0
LYSTERFIELD,1.05,0.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0
COBBLEBANK,1.0499999999999998,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
EAGLEMONT,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0
RUTHERGLEN,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACEDON,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CASTLEMAINE,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPE WOOLAMAI,0.9999999999999999,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENDOC,0.9999999999999999,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OFFICER,0.9500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,1.0
ROCKBANK,0.95,0.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
BALACLAVA,0.9000000000000001,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,6.0,1.0
TOORADIN,0.9000000000000001,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
MANSFIELD,0.9000000000000001,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HOPETOUN,0.9000000000000001,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NHILL,0.9,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BARINGHUP,0.8999999999999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALIFORNIA GULLY,0.8999999999999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BREAKWATER,0.8999999999999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEACONSFIELD UPPER,0.8999999999999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRIETVILLE,0.8999999999999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRISTMAS HILLS,0.8999999999999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOTANIC RIDGE,0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0
DONNYBROOK,0.8,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
GOWANBRAE,0.8,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
LEONGATHA,0.8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRYSDALE,0.8,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BEECHWORTH,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GISBORNE,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KYNETON,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TALLANGATTA,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DONALD,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MALDON,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SEASPRAY,0.7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUAMBATOOK,0.7,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTLY,0.7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRUMCONDRA,0.7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYORA,0.7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANGHOLME,0.65,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0
RIPPONLEA,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,4.0,1.0
YAN YEAN,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0
ARNOLD,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAKIE,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KALIMNA,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERRIMU,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARSHALL,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BONEO,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRONBARK,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWBRIDGE,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONGLEA,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARTMOUTH,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WURRUK,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERRIGUM,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DALYSTON,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNOWSLEY,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORINELLA,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MADDINGLEY,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANADIAN,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUREKA,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LENEVA,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KINGSVILLE,0.55,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0
BLIND BIGHT,0.55,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0
KALLISTA,0.55,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
CLYDE,0.55,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0
ATTWOOD,0.55,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
TRARALGON,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BALLAN,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LINDENOW,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MORTLAKE,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
YARRAGON,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MURTOA,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KERANG,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TATURA,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIMUK,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BEVERIDGE,0.45,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
GARDENVALE,0.45,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
SEVILLE,0.45,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
LONGWARRY,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALLAN,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCH,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GARFIELD,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPSOM,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKYE,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
BRANXHOLME,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ROMSEY,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDHURST,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
GREAT WESTERN,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KINGLAKE,0.35,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
HUNTINGDALE,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
WINTER VALLEY,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAMBOURIN,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BONNIE BROOK,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRATHMERTON,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARCHERTON,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWAN REACH,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAWONGA SOUTH,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOONA,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTWOOD,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEW GISBORNE,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REDAN,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUMBALK,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEXHAM,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELLBRAE,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRIFFIELD,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWINGTON,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAKE GARDENS,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELACOMBE,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRATHFIELDSAYE,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CURLEWIS,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOUNT MACEDON,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERRIJIG,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAINDAMPLE,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURRAYDALE,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARKERS CREEK,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NERRINA,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAWKESDALE,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KENNINGTON,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HATTAH,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRATHDALE,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUCAS,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TALLYGAROOPNA,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RED HILL,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEECHELBA,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WATERWAYS,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
CHARLTON,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TANGAMBALANGA,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KALKALLO,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
LANCEFIELD,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
TONGALA,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DEANSIDE,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
BROADFORD,0.1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MYRNIONG,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUILDFORD,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIDDELLS CREEK,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BANNOCKBURN,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FORREST,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
YINNAR,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TALLAROOK,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTONA EAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRUNSWICK SOUTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCOROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUNTAIN GATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHARLEMONT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELDSTONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRANDON PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUBURN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS KEYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAULFIELD JUNCTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGLERS REST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOORAN ROAD PO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINGAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARDEN CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTHURS SEAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
