suburb,livable,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
NEWTOWN,7.8,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORIO,7.699999999999999,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOBLE PARK,7.6499999999999995,1.0,10.0,2.0,0.0,0.0,0.0,77.0,75.0,0.0,2.0
MALLACOOTA,7.499999999999999,5.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EAST MELBOURNE,7.3,1.0,17.0,1.0,1.0,0.0,0.0,32.0,9.0,21.0,2.0
TORQUAY,7.299999999999999,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MARIBYRNONG,7.25,2.0,9.0,1.0,0.0,0.0,0.0,81.0,52.0,29.0,0.0
BRUNSWICK EAST,7.2,1.0,15.0,0.0,0.0,0.0,0.0,52.0,33.0,19.0,0.0
DROMANA,7.050000000000001,2.0,14.0,0.0,1.0,0.0,0.0,51.0,51.0,0.0,0.0
HASTINGS,7.05,2.0,16.0,2.0,1.0,0.0,0.0,26.0,25.0,0.0,1.0
BELMONT,7.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYE,6.950000000000001,2.0,10.0,0.0,1.0,0.0,0.0,73.0,73.0,0.0,0.0
SORRENTO,6.8500000000000005,2.0,14.0,0.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0
CLAYTON,6.799999999999999,2.0,3.0,5.0,1.0,0.0,0.0,81.0,80.0,0.0,1.0
LILYDALE,6.799999999999999,2.0,2.0,1.0,1.0,0.0,0.0,111.0,110.0,0.0,1.0
BALWYN,6.699999999999999,1.0,12.0,1.0,1.0,0.0,0.0,52.0,44.0,8.0,0.0
MULGRAVE,6.6499999999999995,3.0,1.0,1.0,0.0,0.0,0.0,115.0,115.0,0.0,0.0
BROADMEADOWS,6.6,2.0,4.0,2.0,1.0,0.0,0.0,89.0,88.0,0.0,1.0
DONCASTER,6.6,2.0,2.0,1.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0
PARKVILLE,6.450000000000001,3.0,5.0,6.0,1.0,0.0,0.0,54.0,24.0,29.0,1.0
CARLTON,6.45,2.0,9.0,2.0,2.0,0.0,0.0,55.0,40.0,15.0,0.0
CARRUM DOWNS,6.449999999999999,0.0,3.0,1.0,0.0,0.0,0.0,105.0,105.0,0.0,0.0
SALE,6.4,3.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HIGHTON,6.3,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANGWARRIN,6.25,0.0,6.0,1.0,0.0,0.0,0.0,83.0,83.0,0.0,0.0
BLACKBURN,6.25,2.0,7.0,0.0,0.0,0.0,0.0,77.0,75.0,0.0,2.0
MITCHAM,6.249999999999999,1.0,4.0,1.0,0.0,0.0,0.0,92.0,91.0,0.0,1.0
BLAIRGOWRIE,6.15,0.0,16.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0
SOUTH YARRA,6.1499999999999995,2.0,4.0,2.0,1.0,0.0,0.0,79.0,36.0,41.0,2.0
THOMASTOWN,6.1,1.0,0.0,2.0,0.0,0.0,0.0,107.0,106.0,0.0,1.0
ASCOT VALE,6.05,1.0,6.0,2.0,0.0,0.0,0.0,70.0,45.0,24.0,1.0
BOX HILL,6.049999999999999,2.0,3.0,2.0,1.0,0.0,0.0,84.0,79.0,4.0,1.0
MOONEE PONDS,5.8999999999999995,1.0,5.0,1.0,1.0,0.0,0.0,77.0,56.0,20.0,1.0
SPRINGVALE,5.899999999999999,1.0,3.0,1.0,1.0,0.0,0.0,88.0,86.0,0.0,2.0
THORNBURY,5.8500000000000005,1.0,5.0,1.0,0.0,0.0,0.0,78.0,60.0,17.0,1.0
PORTSEA,5.85,1.0,17.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0
HAMPTON PARK,5.85,1.0,1.0,1.0,0.0,0.0,0.0,103.0,103.0,0.0,0.0
TRUGANINA,5.800000000000001,0.0,8.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0
RICHMOND,5.8,2.0,6.0,2.0,1.0,0.0,0.0,59.0,6.0,50.0,3.0
MORDIALLOC,5.75,2.0,8.0,2.0,1.0,0.0,0.0,48.0,47.0,0.0,1.0
HAMPTON,5.6000000000000005,1.0,4.0,3.0,0.0,0.0,0.0,67.0,66.0,0.0,1.0
DOVETON,5.55,0.0,11.0,1.0,1.0,0.0,0.0,37.0,37.0,0.0,0.0
PASCOE VALE,5.5,0.0,8.0,0.0,0.0,0.0,0.0,61.0,60.0,0.0,1.0
MAIDSTONE,5.5,0.0,11.0,1.0,1.0,0.0,0.0,36.0,35.0,1.0,0.0
LARA,5.499999999999999,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IVANHOE,5.450000000000001,1.0,5.0,2.0,0.0,0.0,0.0,63.0,61.0,0.0,2.0
MARYBOROUGH,5.4,2.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LEOPOLD,5.3999999999999995,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOMERS,5.3500000000000005,0.0,14.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0
LAVERTON,5.3,1.0,12.0,1.0,1.0,0.0,0.0,22.0,20.0,0.0,2.0
FAWKNER,5.299999999999999,1.0,2.0,2.0,1.0,0.0,0.0,78.0,78.0,0.0,0.0
DOCKLANDS,5.2,4.0,7.0,1.0,1.0,0.0,0.0,45.0,16.0,28.0,1.0
PORTLAND,5.2,6.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MENTONE,5.15,2.0,3.0,2.0,1.0,0.0,0.0,66.0,65.0,0.0,1.0
SOUTH MORANG,5.15,0.0,1.0,0.0,0.0,1.0,0.0,97.0,95.0,0.0,2.0
KURUNJANG,5.15,0.0,10.0,1.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0
BRAYBROOK,5.15,1.0,9.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0
KEILOR EAST,5.1,0.0,6.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0
BRIGHTON EAST,5.05,0.0,6.0,0.0,0.0,0.0,0.0,65.0,55.0,10.0,0.0
SHEPPARTON,5.0,1.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CRANBOURNE,5.0,2.0,2.0,3.0,1.0,0.0,0.0,63.0,62.0,0.0,1.0
KENSINGTON,5.0,0.0,9.0,3.0,0.0,0.0,0.0,26.0,19.0,5.0,2.0
MORWELL,5.0,1.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BEAUMARIS,4.95,1.0,5.0,1.0,1.0,0.0,0.0,59.0,59.0,0.0,0.0
DINGLEY VILLAGE,4.95,0.0,6.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0
HEALESVILLE,4.95,1.0,8.0,1.0,1.0,0.0,0.0,41.0,41.0,0.0,0.0
HEATHMONT,4.949999999999999,0.0,9.0,4.0,0.0,0.0,0.0,20.0,19.0,0.0,1.0
DOREEN,4.75,0.0,0.0,1.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0
MOOROOLBARK,4.75,1.0,3.0,1.0,1.0,0.0,0.0,66.0,65.0,0.0,1.0
BURWOOD,4.749999999999999,0.0,1.0,1.0,1.0,0.0,0.0,81.0,62.0,19.0,0.0
KILSYTH,4.7,1.0,5.0,1.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0
DIAMOND CREEK,4.7,0.0,6.0,2.0,1.0,0.0,0.0,43.0,42.0,0.0,1.0
OCEAN GROVE,4.7,1.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHBURTON,4.7,1.0,10.0,0.0,1.0,0.0,0.0,28.0,26.0,0.0,2.0
LALOR,4.6499999999999995,0.0,1.0,1.0,0.0,0.0,0.0,80.0,79.0,0.0,1.0
SANDRINGHAM,4.6000000000000005,1.0,5.0,2.0,1.0,0.0,0.0,45.0,44.0,0.0,1.0
NUNAWADING,4.6000000000000005,1.0,3.0,0.0,1.0,0.0,0.0,69.0,68.0,0.0,1.0
KEILOR DOWNS,4.6,0.0,7.0,1.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0
HARKNESS,4.55,0.0,9.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0
GREENVALE,4.5,0.0,3.0,1.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0
MALVERN,4.5,0.0,5.0,1.0,1.0,0.0,0.0,50.0,1.0,47.0,2.0
OAKLEIGH SOUTH,4.5,0.0,2.0,1.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0
SOUTH MELBOURNE,4.45,3.0,4.0,1.0,2.0,0.0,0.0,49.0,17.0,32.0,0.0
WARRAGUL,4.3999999999999995,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AIRPORT WEST,4.300000000000001,1.0,2.0,2.0,0.0,0.0,0.0,60.0,49.0,11.0,0.0
BULLEEN,4.300000000000001,2.0,3.0,2.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0
BAYSWATER,4.3,2.0,2.0,1.0,0.0,0.0,0.0,63.0,62.0,0.0,1.0
OAKLEIGH,4.250000000000001,3.0,0.0,2.0,1.0,0.0,0.0,63.0,61.0,0.0,2.0
SCORESBY,4.25,1.0,5.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0
CANTERBURY,4.2,1.0,9.0,1.0,0.0,0.0,0.0,21.0,19.0,1.0,1.0
SYDENHAM,4.2,0.0,7.0,2.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0
NEWCOMB,4.2,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAIRNSDALE,4.199999999999999,2.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMADALE,4.15,1.0,1.0,3.0,0.0,0.0,0.0,55.0,23.0,30.0,2.0
BURWOOD EAST,4.15,0.0,3.0,0.0,0.0,0.0,0.0,65.0,52.0,13.0,0.0
BOX HILL NORTH,4.1,0.0,3.0,1.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0
WANGARATTA,4.1,1.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WINCHELSEA,4.1,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
