postcode,locality,state,LGA,SA3_NAME_2016,SA2_Code,SA2_Name,suburb
3000,MELBOURNE,VIC,Melbourne,Melbourne City,206041122.0,Melbourne,['MELBOURNE']
3001,MELBOURNE,VIC,Moonee Valley,Melbourne City,206041122.0,Melbourne,['MELBOURNE']
3002,EAST MELBOURNE,VIC,Yarra,Melbourne City,206041119.0,East Melbourne,['EAST MELBOURNE']
3003,WEST MELBOURNE,VIC,Melbourne,Melbourne City,206041127.0,West Melbourne,['WEST MELBOURNE']
3004,MELBOURNE,VIC,Yarra,Melbourne City,206041126.0,Southbank,"['MELBOURNE', 'ST KILDA ROAD CENTRAL', 'ST KILDA ROAD MELBOURNE']"
3004,ST KILDA ROAD CENTRAL,VIC,Yarra,Melbourne City,206041125.0,South Yarra - West,"['MELBOURNE', 'ST KILDA ROAD CENTRAL', 'ST KILDA ROAD MELBOURNE']"
3004,ST KILDA ROAD MELBOURNE,VIC,Yarra,Melbourne City,206041125.0,South Yarra - West,"['MELBOURNE', 'ST KILDA ROAD CENTRAL', 'ST KILDA ROAD MELBOURNE']"
3006,SOUTH WHARF,VIC,Port Phillip,Melbourne City,206041126.0,Southbank,"['SOUTH WHARF', 'SOUTHBANK']"
3006,SOUTHBANK,VIC,Port Phillip,Port Phillip,206051132.0,South Melbourne,"['SOUTH WHARF', 'SOUTHBANK']"
3008,DOCKLANDS,VIC,Melbourne,Melbourne City,206041118.0,Docklands,['DOCKLANDS']
3010,UNIVERSITY OF MELBOURNE,VIC,Melbourne,Melbourne City,206041124.0,Parkville,['UNIVERSITY OF MELBOURNE']
3011,FOOTSCRAY,VIC,Moonee Valley,Maribyrnong,213031348.0,Footscray,"['FOOTSCRAY', 'SEDDON', 'SEDDON WEST']"
3011,SEDDON,VIC,Moonee Valley,Maribyrnong,213031350.0,Seddon - Kingsville,"['FOOTSCRAY', 'SEDDON', 'SEDDON WEST']"
3011,SEDDON WEST,VIC,Moonee Valley,Maribyrnong,213031350.0,Seddon - Kingsville,"['FOOTSCRAY', 'SEDDON', 'SEDDON WEST']"
3012,BROOKLYN,VIC,Wyndham,Brimbank,213011338.0,Sunshine West,"['BROOKLYN', 'KINGSVILLE', 'MAIDSTONE', 'TOTTENHAM', 'WEST FOOTSCRAY']"
3012,KINGSVILLE,VIC,Wyndham,Maribyrnong,213031350.0,Seddon - Kingsville,"['BROOKLYN', 'KINGSVILLE', 'MAIDSTONE', 'TOTTENHAM', 'WEST FOOTSCRAY']"
3012,KINGSVILLE WEST,VIC,Wyndham,Maribyrnong,213031350.0,Seddon - Kingsville,"['BROOKLYN', 'KINGSVILLE', 'MAIDSTONE', 'TOTTENHAM', 'WEST FOOTSCRAY']"
3012,MAIDSTONE,VIC,Wyndham,Maribyrnong,213031347.0,Braybrook,"['BROOKLYN', 'KINGSVILLE', 'MAIDSTONE', 'TOTTENHAM', 'WEST FOOTSCRAY']"
3012,TOTTENHAM,VIC,Wyndham,Maribyrnong,213031351.0,West Footscray - Tottenham,"['BROOKLYN', 'KINGSVILLE', 'MAIDSTONE', 'TOTTENHAM', 'WEST FOOTSCRAY']"
3012,WEST FOOTSCRAY,VIC,Wyndham,Maribyrnong,213031351.0,West Footscray - Tottenham,"['BROOKLYN', 'KINGSVILLE', 'MAIDSTONE', 'TOTTENHAM', 'WEST FOOTSCRAY']"
3013,YARRAVILLE,VIC,Melbourne,Maribyrnong,213031352.0,Yarraville,"['YARRAVILLE', 'YARRAVILLE WEST']"
3013,YARRAVILLE WEST,VIC,Melbourne,Maribyrnong,213031352.0,Yarraville,"['YARRAVILLE', 'YARRAVILLE WEST']"
3015,NEWPORT,VIC,Melbourne,Hobsons Bay,213021344.0,Newport,"['NEWPORT', 'SOUTH KINGSVILLE', 'SPOTSWOOD']"
3015,SOUTH KINGSVILLE,VIC,Melbourne,Hobsons Bay,213021344.0,Newport,"['NEWPORT', 'SOUTH KINGSVILLE', 'SPOTSWOOD']"
3015,SPOTSWOOD,VIC,Melbourne,Hobsons Bay,213021344.0,Newport,"['NEWPORT', 'SOUTH KINGSVILLE', 'SPOTSWOOD']"
3016,WILLIAMSTOWN,VIC,Hobsons Bay,Hobsons Bay,213021346.0,Williamstown,"['WILLIAMSTOWN', 'WILLIAMSTOWN NORTH']"
3016,WILLIAMSTOWN NORTH,VIC,Hobsons Bay,Hobsons Bay,213021346.0,Williamstown,"['WILLIAMSTOWN', 'WILLIAMSTOWN NORTH']"
3018,ALTONA,VIC,Wyndham,Hobsons Bay,213021341.0,Altona,"['ALTONA', 'SEAHOLME']"
3018,SEAHOLME,VIC,Wyndham,Hobsons Bay,213021341.0,Altona,"['ALTONA', 'SEAHOLME']"
3019,BRAYBROOK,VIC,Moonee Valley,Maribyrnong,213031347.0,Braybrook,"['BRAYBROOK', 'ROBINSON']"
3019,BRAYBROOK NORTH,VIC,Moonee Valley,Maribyrnong,213031347.0,Braybrook,"['BRAYBROOK', 'ROBINSON']"
3019,ROBINSON,VIC,Moonee Valley,Maribyrnong,213031347.0,Braybrook,"['BRAYBROOK', 'ROBINSON']"
3020,ALBION,VIC,Wyndham,Brimbank,213011328.0,Ardeer - Albion,"['ALBION', 'GLENGALA', 'SUNSHINE', 'SUNSHINE NORTH', 'SUNSHINE WEST']"
3020,GLENGALA,VIC,Wyndham,Brimbank,213011338.0,Sunshine West,"['ALBION', 'GLENGALA', 'SUNSHINE', 'SUNSHINE NORTH', 'SUNSHINE WEST']"
3020,SUNSHINE,VIC,Wyndham,Brimbank,213011336.0,Sunshine,"['ALBION', 'GLENGALA', 'SUNSHINE', 'SUNSHINE NORTH', 'SUNSHINE WEST']"
3020,SUNSHINE NORTH,VIC,Wyndham,Brimbank,213011337.0,Sunshine North,"['ALBION', 'GLENGALA', 'SUNSHINE', 'SUNSHINE NORTH', 'SUNSHINE WEST']"
3020,SUNSHINE WEST,VIC,Wyndham,Brimbank,213011338.0,Sunshine West,"['ALBION', 'GLENGALA', 'SUNSHINE', 'SUNSHINE NORTH', 'SUNSHINE WEST']"
3021,ALBANVALE,VIC,Melton,Brimbank,213011333.0,Kings Park (Vic.),"['ALBANVALE', 'KEALBA', 'KINGS PARK', 'ST ALBANS']"
3021,KEALBA,VIC,Melton,Brimbank,213011332.0,Keilor Downs,"['ALBANVALE', 'KEALBA', 'KINGS PARK', 'ST ALBANS']"
3021,KINGS PARK,VIC,Melton,Brimbank,213011333.0,Kings Park (Vic.),"['ALBANVALE', 'KEALBA', 'KINGS PARK', 'ST ALBANS']"
3021,ST ALBANS,VIC,Melton,Brimbank,213011334.0,St Albans - North,"['ALBANVALE', 'KEALBA', 'KINGS PARK', 'ST ALBANS']"
3022,ARDEER,VIC,Brimbank,Brimbank,213011328.0,Ardeer - Albion,"['ARDEER', 'DEER PARK EAST']"
3022,DEER PARK EAST,VIC,Brimbank,Brimbank,213011328.0,Ardeer - Albion,"['ARDEER', 'DEER PARK EAST']"
3023,BURNSIDE,VIC,Melton,Melton - Bacchus Marsh,213041461.0,Burnside,"['BURNSIDE', 'BURNSIDE HEIGHTS', 'CAIRNLEA', 'CAROLINE SPRINGS', 'DEER PARK', 'DEER PARK NORTH', 'RAVENHALL']"
3023,BURNSIDE HEIGHTS,VIC,Melton,Melton - Bacchus Marsh,213041462.0,Burnside Heights,"['BURNSIDE', 'BURNSIDE HEIGHTS', 'CAIRNLEA', 'CAROLINE SPRINGS', 'DEER PARK', 'DEER PARK NORTH', 'RAVENHALL']"
3023,CAIRNLEA,VIC,Melton,Brimbank,213011329.0,Cairnlea,"['BURNSIDE', 'BURNSIDE HEIGHTS', 'CAIRNLEA', 'CAROLINE SPRINGS', 'DEER PARK', 'DEER PARK NORTH', 'RAVENHALL']"
3023,CAROLINE SPRINGS,VIC,Melton,Melton - Bacchus Marsh,213041463.0,Caroline Springs,"['BURNSIDE', 'BURNSIDE HEIGHTS', 'CAIRNLEA', 'CAROLINE SPRINGS', 'DEER PARK', 'DEER PARK NORTH', 'RAVENHALL']"
3023,DEER PARK,VIC,Melton,Brimbank,213011330.0,Deer Park - Derrimut,"['BURNSIDE', 'BURNSIDE HEIGHTS', 'CAIRNLEA', 'CAROLINE SPRINGS', 'DEER PARK', 'DEER PARK NORTH', 'RAVENHALL']"
3023,DEER PARK NORTH,VIC,Melton,Brimbank,213011330.0,Deer Park - Derrimut,"['BURNSIDE', 'BURNSIDE HEIGHTS', 'CAIRNLEA', 'CAROLINE SPRINGS', 'DEER PARK', 'DEER PARK NORTH', 'RAVENHALL']"
3023,RAVENHALL,VIC,Melton,Melton - Bacchus Marsh,213041359.0,Rockbank - Mount Cottrell,"['BURNSIDE', 'BURNSIDE HEIGHTS', 'CAIRNLEA', 'CAROLINE SPRINGS', 'DEER PARK', 'DEER PARK NORTH', 'RAVENHALL']"
3024,FIELDSTONE,VIC,Wyndham,Melton - Bacchus Marsh,213041359.0,Rockbank - Mount Cottrell,"['FIELDSTONE', 'MAMBOURIN', 'MANOR LAKES', 'MOUNT COTTRELL', 'WYNDHAM VALE']"
3024,MAMBOURIN,VIC,Wyndham,Wyndham,213051468.0,Werribee - West,"['FIELDSTONE', 'MAMBOURIN', 'MANOR LAKES', 'MOUNT COTTRELL', 'WYNDHAM VALE']"
3024,MANOR LAKES,VIC,Wyndham,Wyndham,213051369.0,Wyndham Vale,"['FIELDSTONE', 'MAMBOURIN', 'MANOR LAKES', 'MOUNT COTTRELL', 'WYNDHAM VALE']"
3024,MOUNT COTTRELL,VIC,Wyndham,Wyndham,213051365.0,Tarneit,"['FIELDSTONE', 'MAMBOURIN', 'MANOR LAKES', 'MOUNT COTTRELL', 'WYNDHAM VALE']"
3024,WYNDHAM VALE,VIC,Wyndham,Wyndham,213051369.0,Wyndham Vale,"['FIELDSTONE', 'MAMBOURIN', 'MANOR LAKES', 'MOUNT COTTRELL', 'WYNDHAM VALE']"
3025,ALTONA EAST,VIC,Wyndham,Hobsons Bay,213021343.0,Altona North,"['ALTONA EAST', 'ALTONA GATE', 'ALTONA NORTH']"
3025,ALTONA GATE,VIC,Wyndham,Hobsons Bay,213021343.0,Altona North,"['ALTONA EAST', 'ALTONA GATE', 'ALTONA NORTH']"
3025,ALTONA NORTH,VIC,Wyndham,Hobsons Bay,213021343.0,Altona North,"['ALTONA EAST', 'ALTONA GATE', 'ALTONA NORTH']"
3026,DERRIMUT,VIC,Wyndham,Brimbank,213011330.0,Deer Park - Derrimut,"['DERRIMUT', 'LAVERTON NORTH']"
3026,LAVERTON NORTH,VIC,Wyndham,Wyndham,213051363.0,Laverton,"['DERRIMUT', 'LAVERTON NORTH']"
3027,LAVERTON RAAF,VIC,Wyndham,Wyndham,213051363.0,Laverton,['WILLIAMS LANDING']
3027,WILLIAMS LANDING,VIC,Wyndham,Wyndham,213051363.0,Laverton,['WILLIAMS LANDING']
3027,WILLIAMS RAAF,VIC,Wyndham,Wyndham,213051464.0,Point Cook - East,['WILLIAMS LANDING']
3028,ALTONA MEADOWS,VIC,Wyndham,Hobsons Bay,213021342.0,Altona Meadows,"['ALTONA MEADOWS', 'LAVERTON', 'SEABROOK']"
3028,LAVERTON,VIC,Wyndham,Wyndham,213051363.0,Laverton,"['ALTONA MEADOWS', 'LAVERTON', 'SEABROOK']"
3028,SEABROOK,VIC,Wyndham,Hobsons Bay,213021345.0,Seabrook,"['ALTONA MEADOWS', 'LAVERTON', 'SEABROOK']"
3029,HOPPERS CROSSING,VIC,Wyndham,Wyndham,213051361.0,Hoppers Crossing - North,"['HOPPERS CROSSING', 'TARNEIT', 'TRUGANINA']"
3029,TARNEIT,VIC,Wyndham,Wyndham,213051365.0,Tarneit,"['HOPPERS CROSSING', 'TARNEIT', 'TRUGANINA']"
3029,TRUGANINA,VIC,Wyndham,Wyndham,213051366.0,Truganina,"['HOPPERS CROSSING', 'TARNEIT', 'TRUGANINA']"
3030,CHARTWELL,VIC,Wyndham,Brimbank,213011330.0,Deer Park - Derrimut,"['COCOROC', 'POINT COOK', 'QUANDONG', 'WERRIBEE', 'WERRIBEE SOUTH']"
3030,COCOROC,VIC,Wyndham,Wyndham,213051368.0,Werribee - South,"['COCOROC', 'POINT COOK', 'QUANDONG', 'WERRIBEE', 'WERRIBEE SOUTH']"
3030,POINT COOK,VIC,Wyndham,Wyndham,213051466.0,Point Cook - South,"['COCOROC', 'POINT COOK', 'QUANDONG', 'WERRIBEE', 'WERRIBEE SOUTH']"
3030,QUANDONG,VIC,Wyndham,Wyndham,213051369.0,Wyndham Vale,"['COCOROC', 'POINT COOK', 'QUANDONG', 'WERRIBEE', 'WERRIBEE SOUTH']"
3030,WERRIBEE,VIC,Wyndham,Wyndham,213051368.0,Werribee - South,"['COCOROC', 'POINT COOK', 'QUANDONG', 'WERRIBEE', 'WERRIBEE SOUTH']"
3030,WERRIBEE SOUTH,VIC,Wyndham,Wyndham,213051368.0,Werribee - South,"['COCOROC', 'POINT COOK', 'QUANDONG', 'WERRIBEE', 'WERRIBEE SOUTH']"
3031,FLEMINGTON,VIC,Moonee Valley,Essendon,206031115.0,Flemington,"['FLEMINGTON', 'KENSINGTON']"
3031,KENSINGTON,VIC,Moonee Valley,Melbourne City,206041121.0,Kensington (Vic.),"['FLEMINGTON', 'KENSINGTON']"
3032,ASCOT VALE,VIC,Moreland,Essendon,206031113.0,Ascot Vale,"['ASCOT VALE', 'HIGHPOINT CITY', 'MARIBYRNONG', 'TRAVANCORE']"
3032,HIGHPOINT CITY,VIC,Moreland,Maribyrnong,213031349.0,Maribyrnong,"['ASCOT VALE', 'HIGHPOINT CITY', 'MARIBYRNONG', 'TRAVANCORE']"
3032,MARIBYRNONG,VIC,Moreland,Maribyrnong,213031349.0,Maribyrnong,"['ASCOT VALE', 'HIGHPOINT CITY', 'MARIBYRNONG', 'TRAVANCORE']"
3032,TRAVANCORE,VIC,Moreland,Essendon,206031115.0,Flemington,"['ASCOT VALE', 'HIGHPOINT CITY', 'MARIBYRNONG', 'TRAVANCORE']"
3033,KEILOR EAST,VIC,Moonee Valley,Keilor,210011228.0,Keilor,['KEILOR EAST']
3034,AVONDALE HEIGHTS,VIC,Moonee Valley,Keilor,210011229.0,Keilor East,['AVONDALE HEIGHTS']
3036,KEILOR,VIC,Hume,Keilor,210011228.0,Keilor,"['KEILOR', 'KEILOR NORTH']"
3036,KEILOR NORTH,VIC,Hume,Brimbank,213011340.0,Taylors Lakes,"['KEILOR', 'KEILOR NORTH']"
3037,CALDER PARK,VIC,Melton,Brimbank,213011340.0,Taylors Lakes,"['CALDER PARK', 'DELAHEY', 'HILLSIDE', 'SYDENHAM', 'TAYLORS HILL']"
